Plcd	Pcpu	Pwifi	Pdata	Pgps	type
0	20	0	10	0	1
0	1	0	10	0	1
0	2	0	10	0	1
0	3	0	10	0	1
0	4	0	10	0	1
0	7	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	3	0	405	0	1
0	70	0	902	0	1
0	2	0	902	0	1
0	1	0	902	0	1
0	1	0	902	0	1
0	3	0	902	0	1
0	48	0	902	0	1
0	1	0	902	0	1
0	2	0	902	0	1
0	3	0	902	0	1
0	2	0	902	0	1
0	59	0	902	0	1
0	1	0	902	0	1
0	2	0	902	0	1
0	2	0	902	0	1
0	1	0	902	0	1
0	21	0	405	0	1
0	5	0	405	0	1
0	1	0	405	0	1
0	1	0	405	0	1
0	2	0	405	0	1
0	6	0	405	0	1
0	1	0	405	0	1
0	1	0	405	0	1
0	1	0	405	0	1
0	5	0	405	0	1
0	6	0	405	0	1
0	1	0	405	0	1
0	2	0	10	0	1
0	2	0	10	0	1
0	2	0	10	0	1
0	11	0	10	0	1
0	2	0	10	0	1
0	2	0	10	0	1
0	2	0	10	0	1
0	6	0	10	0	1
0	1	0	10	0	1
0	2	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	6	0	10	0	1
0	2	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	3	0	10	0	1
0	10	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	7	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	5	0	10	0	1
0	1	0	10	0	1
0	9	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	11	0	405	0	1
0	4	0	902	0	1
0	2	0	902	0	1
0	2	0	902	0	1
0	1	0	902	0	1
0	9	0	902	0	1
0	3	0	902	0	1
0	3	0	902	0	1
0	1	0	902	0	1
0	6	0	902	0	1
0	9	0	902	0	1
0	4	0	902	0	1
0	2	0	902	0	1
0	1	0	902	0	1
0	1	0	902	0	1
0	9	0	902	0	1
0	3	0	405	0	1
0	0	0	405	0	1
0	1	0	405	0	1
0	2	0	405	0	1
0	14	0	405	0	1
0	1	0	405	0	1
0	1	0	405	0	1
0	2	0	405	0	1
0	3	0	405	0	1
0	11	0	405	0	1
0	2	0	405	0	1
0	16	0	405	0	1
0	2	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	10	0	10	0	1
0	1	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	2	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	5	0	10	0	1
0	1	0	10	0	1
0	3	0	10	0	1
0	2	0	10	0	1
0	2	0	10	0	1
0	2	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	0	0	10	0	1
0	0	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	4	0	405	0	1
0	1	0	902	0	1
0	1	0	902	0	1
0	0	0	902	0	1
0	1	0	902	0	1
0	4	0	902	0	1
0	2	0	902	0	1
0	2	0	902	0	1
0	5	0	902	0	1
0	2	0	902	0	1
0	1	0	902	0	1
0	2	0	902	0	1
0	4	0	902	0	1
0	0	0	902	0	1
0	1	0	902	0	1
0	1	0	902	0	1
0	2	0	405	0	1
0	2	0	405	0	1
0	1	0	405	0	1
0	0	0	405	0	1
0	1	0	405	0	1
0	6	0	405	0	1
0	0	0	405	0	1
0	1	0	405	0	1
0	1	0	405	0	1
0	1	0	405	0	1
0	4	0	405	0	1
0	2	0	405	0	1
0	1	0	10	0	1
0	0	0	10	0	1
0	3	0	10	0	1
0	1	0	10	0	1
0	3	0	10	0	1
0	2	0	10	0	1
0	2	0	10	0	1
0	9	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	3	0	10	0	1
0	0	0	10	0	1
0	1	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	4	0	10	0	1
0	1	0	10	0	1
0	2	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	4	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	2	0	10	0	1
0	2	0	10	0	1
0	4	0	10	0	1
0	3	0	405	0	1
0	3	0	902	0	1
0	2	0	902	0	1
0	2	0	902	0	1
0	1	0	902	0	1
0	4	0	902	0	1
0	2	0	902	0	1
0	2	0	902	0	1
0	1	0	902	0	1
0	2	0	902	0	1
0	5	0	902	0	1
0	2	0	902	0	1
0	0	0	902	0	1
0	2	0	902	0	1
0	2	0	902	0	1
0	2	0	902	0	1
0	2	0	405	0	1
0	2	0	405	0	1
0	1	0	405	0	1
0	1	0	405	0	1
0	4	0	405	0	1
0	2	0	405	0	1
0	1	0	405	0	1
0	2	0	405	0	1
0	3	0	405	0	1
0	2	0	405	0	1
0	1	0	405	0	1
0	1	0	405	0	1
0	1	0	10	0	1
0	2	0	10	0	1
0	4	0	10	0	1
0	2	0	10	0	1
0	15	0	10	0	1
0	4	0	10	0	1
0	1	0	10	0	1
0	7	0	10	0	1
0	2	0	10	0	1
0	2	0	10	0	1
0	2	0	10	0	1
0	2	0	10	0	1
0	9	0	10	0	1
0	1	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	4	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	4	0	10	0	1
0	2	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	3	0	405	0	1
0	4	0	902	0	1
0	1	0	902	0	1
0	1	0	902	0	1
0	5	0	902	0	1
0	1	0	902	0	1
0	2	0	902	0	1
0	1	0	902	0	1
0	1	0	902	0	1
0	1	0	902	0	1
0	1	0	902	0	1
0	2	0	902	0	1
0	3	0	902	0	1
0	1	0	902	0	1
0	2	0	902	0	1
0	1	0	902	0	1
0	1	0	405	0	1
0	1	0	405	0	1
0	1	0	405	0	1
0	1	0	405	0	1
0	1	0	405	0	1
0	3	0	405	0	1
0	2	0	405	0	1
0	2	0	405	0	1
0	1	0	405	0	1
0	2	0	405	0	1
0	1	0	405	0	1
0	1	0	405	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	2	0	10	0	1
0	3	0	10	0	1
0	4	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	9	0	10	0	1
0	2	0	10	0	1
0	2	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	2	0	10	0	1
0	2	0	10	0	1
0	2	0	10	0	1
0	2	0	10	0	1
0	2	0	10	0	1
0	3	0	10	0	1
0	1	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	10	0	10	0	1
0	1	0	10	0	1
0	4	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	4	0	10	0	1
0	2	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	1	0	405	0	1
0	1	0	902	0	1
0	3	0	902	0	1
0	3	0	902	0	1
0	3	0	902	0	1
0	4	0	902	0	1
0	4	0	902	0	1
0	3	0	902	0	1
0	3	0	902	0	1
0	2	0	902	0	1
0	3	0	902	0	1
0	4	0	902	0	1
0	1	0	902	0	1
0	2	0	902	0	1
0	1	0	902	0	1
0	2	0	902	0	1
0	1	0	405	0	1
0	3	0	405	0	1
0	3	0	405	0	1
0	1	0	405	0	1
0	1	0	405	0	1
0	1	0	405	0	1
0	2	0	405	0	1
0	3	0	405	0	1
0	1	0	405	0	1
0	2	0	405	0	1
0	2	0	405	0	1
0	5	0	405	0	1
0	1	0	10	0	1
0	3	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	2	0	10	0	1
0	7	0	10	0	1
0	1	0	10	0	1
0	3	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	2	0	10	0	1
0	3	0	10	0	1
0	1	0	10	0	1
0	2	0	10	0	1
0	4	0	10	0	1
0	1	0	10	0	1
0	0	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	2	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	2	0	405	0	1
0	1	0	902	0	1
0	5	0	902	0	1
0	2	0	902	0	1
0	3	0	902	0	1
0	1	0	902	0	1
0	1	0	902	0	1
0	2	0	902	0	1
0	2	0	902	0	1
0	2	0	902	0	1
0	1	0	902	0	1
0	2	0	902	0	1
0	1	0	902	0	1
0	2	0	902	0	1
0	1	0	902	0	1
0	2	0	902	0	1
0	1	0	405	0	1
0	1	0	405	0	1
0	1	0	405	0	1
0	1	0	405	0	1
0	2	0	405	0	1
0	1	0	405	0	1
0	2	0	405	0	1
0	4	0	405	0	1
0	2	0	405	0	1
0	2	0	405	0	1
0	1	0	405	0	1
0	1	0	405	0	1
0	2	0	10	0	1
0	0	0	10	0	1
0	2	0	10	0	1
0	2	0	10	0	1
0	3	0	10	0	1
0	0	0	10	0	1
0	1	0	10	0	1
0	4	0	10	0	1
0	4	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	2	0	10	0	1
0	2	0	10	0	1
0	3	0	10	0	1
0	0	0	10	0	1
0	2	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	0	0	10	0	1
0	2	0	10	0	1
0	3	0	405	0	1
0	1	0	902	0	1
0	3	0	902	0	1
0	1	0	902	0	1
0	1	0	902	0	1
0	3	0	902	0	1
0	1	0	902	0	1
0	2	0	902	0	1
0	2	0	902	0	1
0	2	0	902	0	1
0	2	0	902	0	1
0	1	0	902	0	1
0	2	0	902	0	1
0	1	0	902	0	1
0	1	0	902	0	1
0	2	0	902	0	1
0	1	0	405	0	1
0	1	0	405	0	1
0	10	0	405	0	1
0	1	0	405	0	1
0	0	0	405	0	1
0	1	0	405	0	1
0	0	0	405	0	1
0	2	0	405	0	1
0	3	0	405	0	1
0	1	0	405	0	1
0	1	0	405	0	1
0	1	0	405	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	2	0	10	0	1
0	7	0	10	0	1
0	4	0	10	0	1
0	2	0	10	0	1
0	0	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	3	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	0	0	10	0	1
0	0	0	10	0	1
0	2	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	3	0	10	0	1
0	1	0	10	0	1
0	2	0	10	0	1
0	5	0	10	0	1
0	5	0	405	0	1
0	2	0	902	0	1
0	1	0	902	0	1
0	3	0	902	0	1
0	1	0	902	0	1
0	1	0	902	0	1
0	3	0	902	0	1
0	2	0	902	0	1
0	1	0	902	0	1
0	3	0	902	0	1
0	2	0	902	0	1
0	1	0	902	0	1
0	3	0	902	0	1
0	2	0	902	0	1
0	3	0	902	0	1
0	2	0	902	0	1
0	2	0	405	0	1
0	2	0	405	0	1
0	1	0	405	0	1
0	1	0	405	0	1
0	2	0	405	0	1
0	2	0	405	0	1
0	1	0	405	0	1
0	1	0	405	0	1
0	2	0	405	0	1
0	1	0	405	0	1
0	1	0	405	0	1
0	1	0	405	0	1
0	3	0	10	0	1
0	2	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	9	0	10	0	1
0	10	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	4	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
