Plcd	Pcpu	Pwifi	Pdata	Pgps	type
474	15	0	10	0	1
474	27	0	10	0	1
474	3	0	10	0	1
474	3	0	10	0	1
474	3	0	10	0	1
474	2	0	10	0	1
474	9	0	10	0	1
474	5	0	10	0	1
474	3	0	10	0	1
474	4	0	10	0	1
474	51	0	10	0	1
474	5	0	405	0	1
474	6	0	902	0	1
474	6	0	902	0	1
474	3	0	902	0	1
474	4	0	902	0	1
474	4	0	902	0	1
474	3	0	902	0	1
474	3	0	902	0	1
474	5	0	902	0	1
474	8	0	902	0	1
474	4	0	902	0	1
474	3	0	902	0	1
474	4	0	902	0	1
474	6	0	902	0	1
474	10	0	902	0	1
474	6	0	902	0	1
474	1	0	405	0	1
474	5	0	405	0	1
474	2	0	405	0	1
474	2	0	405	0	1
474	2	0	405	0	1
474	4	0	405	0	1
474	5	0	405	0	1
474	2	0	405	0	1
474	1	0	405	0	1
474	4	0	405	0	1
474	3	0	405	0	1
474	3	0	405	0	1
474	6	0	10	0	1
474	2	0	10	0	1
474	2	0	10	0	1
474	3	0	10	0	1
474	1	0	10	0	1
474	4	0	10	0	1
474	3	0	10	0	1
474	5	0	10	0	1
474	3	0	10	0	1
474	3	0	10	0	1
474	3	0	10	0	1
474	4	0	10	0	1
474	4	0	10	0	1
474	3	0	10	0	1
474	4	0	10	0	1
474	0	0	10	0	1
474	9	0	10	0	1
474	3	0	10	0	1
474	4	0	10	0	1
474	4	0	10	0	1
474	4	0	10	0	1
474	2	0	10	0	1
474	4	0	10	0	1
474	3	0	10	0	1
474	4	0	10	0	1
474	5	0	10	0	1
474	80	0	10	0	1
474	17	0	10	0	1
474	7	0	10	0	1
474	4	0	10	0	1
474	5	0	10	0	1
474	5	0	10	0	1
474	9	0	405	0	1
474	4	0	902	0	1
474	3	0	902	0	1
474	64	0	902	0	1
474	3	0	902	0	1
474	3	0	902	0	1
474	2	0	902	0	1
474	3	0	902	0	1
474	2	0	902	0	1
474	5	0	902	0	1
474	4	0	902	0	1
474	7	0	902	0	1
474	4	0	902	0	1
474	5	0	902	0	1
474	9	0	902	0	1
474	4	0	902	0	1
474	3	0	902	0	1
474	5	0	405	0	1
474	1	0	405	0	1
474	3	0	405	0	1
474	2	0	405	0	1
474	2	0	405	0	1
474	2	0	405	0	1
