Plcd	Pcpu	Pwifi	Pdata	Pgps	type
0	16	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	3	34	0	0	1
0	1	34	0	0	1
0	60	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	11	34	0	0	1
0	0	34	0	0	1
0	4	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	1	34	0	0	1
0	0	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	2	404	0	0	1
0	3	404	0	0	1
0	3	404	0	0	1
0	1	404	0	0	1
0	3	404	0	0	1
0	3	404	0	0	1
0	4	404	0	0	1
0	2	404	0	0	1
0	1	404	0	0	1
0	2	404	0	0	1
0	0	404	0	0	1
0	0	34	0	0	1
0	13	34	0	0	1
0	0	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	9	34	0	0	1
0	3	34	0	0	1
0	3	34	0	0	1
0	1	34	0	0	1
0	10	404	0	0	1
0	5	404	0	0	1
0	1	404	0	0	1
0	1	404	0	0	1
0	1	404	0	0	1
0	7	404	0	0	1
0	3	404	0	0	1
0	1	404	0	0	1
0	1	404	0	0	1
0	2	404	0	0	1
0	3	404	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	0	404	0	0	1
0	1	404	0	0	1
0	1	404	0	0	1
0	4	404	0	0	1
0	3	404	0	0	1
0	3	404	0	0	1
0	2	404	0	0	1
0	2	404	0	0	1
0	2	404	0	0	1
0	2	404	0	0	1
0	1	404	0	0	1
0	4	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	0	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	2	404	0	0	1
0	2	404	0	0	1
0	3	404	0	0	1
0	3	404	0	0	1
0	1	404	0	0	1
0	1	404	0	0	1
0	4	404	0	0	1
0	5	404	0	0	1
0	2	404	0	0	1
0	2	404	0	0	1
0	0	404	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	0	34	0	0	1
0	0	34	0	0	1
0	4	34	0	0	1
0	0	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	12	404	0	0	1
0	2	404	0	0	1
0	2	404	0	0	1
0	2	404	0	0	1
0	2	404	0	0	1
0	3	404	0	0	1
0	2	404	0	0	1
0	2	404	0	0	1
0	3	404	0	0	1
0	0	404	0	0	1
0	1	404	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	1	34	0	0	1
0	3	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	2	404	0	0	1
0	1	405	0	0	1
0	1	405	0	0	1
0	3	405	0	0	1
0	1	405	0	0	1
0	1	405	0	0	1
0	3	405	0	0	1
0	3	405	0	0	1
0	3	405	0	0	1
0	2	405	0	0	1
0	1	405	0	0	1
0	1	34	0	0	1
0	5	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	0	34	0	0	1
0	0	34	0	0	1
0	1	34	0	0	1
0	2	405	0	0	1
0	2	405	0	0	1
0	2	405	0	0	1
0	2	405	0	0	1
0	2	405	0	0	1
0	2	405	0	0	1
0	2	406	0	0	1
0	2	406	0	0	1
0	5	406	0	0	1
0	10	406	0	0	1
0	4	405	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	0	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	11	405	0	0	1
0	4	406	0	0	1
0	3	406	0	0	1
0	2	405	0	0	1
0	1	406	0	0	1
0	2	406	0	0	1
0	2	406	0	0	1
0	1	406	0	0	1
0	2	406	0	0	1
0	3	406	0	0	1
0	1	405	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	0	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	4	405	0	0	1
0	2	405	0	0	1
0	1	405	0	0	1
0	4	405	0	0	1
0	3	405	0	0	1
0	3	405	0	0	1
0	1	405	0	0	1
0	0	405	0	0	1
0	3	405	0	0	1
0	2	405	0	0	1
0	4	405	0	0	1
0	1	34	0	0	1
0	0	34	0	0	1
0	0	34	0	0	1
0	0	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	3	404	0	0	1
0	0	405	0	0	1
0	2	405	0	0	1
0	1	405	0	0	1
0	1	405	0	0	1
0	1	405	0	0	1
0	2	406	0	0	1
0	2	406	0	0	1
0	1	406	0	0	1
0	1	406	0	0	1
0	3	405	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	0	34	0	0	1
0	0	34	0	0	1
0	2	34	0	0	1
0	11	405	0	0	1
0	2	406	0	0	1
0	1	0	0	0	1
0	2	3706	0	0	1
0	3	406	0	0	1
0	2	406	0	0	1
0	2	406	0	0	1
0	2	406	0	0	1
0	3	406	0	0	1
0	1	406	0	0	1
0	3	405	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	3	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	3	404	0	0	1
0	1	405	0	0	1
0	2	405	0	0	1
0	1	405	0	0	1
0	1	405	0	0	1
0	1	405	0	0	1
0	1	405	0	0	1
0	1	405	0	0	1
