Plcd	Pcpu	Pwifi	Pdata	Pgps	type
474	8	34	0	0	1
474	9	34	0	0	1
474	4	34	0	0	1
474	7	34	0	0	1
474	3	34	0	0	1
474	3	34	0	0	1
474	5	34	0	0	1
474	2	34	0	0	1
474	4	34	0	0	1
474	11	34	0	0	1
474	26	34	0	0	1
474	2	34	0	0	1
474	2	34	0	0	1
474	2	34	0	0	1
474	2	34	0	0	1
474	3	34	0	0	1
474	9	34	0	0	1
474	3	34	0	0	1
474	56	34	0	0	1
474	0	34	0	0	1
474	3	34	0	0	1
474	4	404	0	0	1
474	5	404	0	0	1
474	2	404	0	0	1
474	6	404	0	0	1
474	2	404	0	0	1
474	53	404	0	0	1
474	3	404	0	0	1
474	8	404	0	0	1
474	1	404	0	0	1
474	2	404	0	0	1
474	3	34	0	0	1
474	6	34	0	0	1
474	3	34	0	0	1
474	4	34	0	0	1
474	3	34	0	0	1
474	3	34	0	0	1
474	33	34	0	0	1
474	3	34	0	0	1
474	2	34	0	0	1
474	36	34	0	0	1
474	4	404	0	0	1
474	4	404	0	0	1
474	4	404	0	0	1
474	4	404	0	0	1
474	2	404	0	0	1
474	9	404	0	0	1
474	3	404	0	0	1
474	2	404	0	0	1
474	5	404	0	0	1
474	4	404	0	0	1
474	10	34	0	0	1
474	2	34	0	0	1
474	2	34	0	0	1
474	2	34	0	0	1
474	21	404	0	0	1
474	2	34	0	0	1
474	1	34	0	0	1
474	9	34	0	0	1
474	3	34	0	0	1
474	7	34	0	0	1
474	2	404	0	0	1
474	9	404	0	0	1
474	5	404	0	0	1
474	4	404	0	0	1
474	3	404	0	0	1
474	5	404	0	0	1
474	5	404	0	0	1
474	4	404	0	0	1
474	9	404	0	0	1
474	32	404	0	0	1
474	3	34	0	0	1
474	3	34	0	0	1
474	2	34	0	0	1
474	1	34	0	0	1
474	1	34	0	0	1
474	7	34	0	0	1
474	3	34	0	0	1
474	26	34	0	0	1
474	2	34	0	0	1
474	3	34	0	0	1
474	4	404	0	0	1
474	2	404	0	0	1
474	3	404	0	0	1
474	6	404	0	0	1
474	42	404	0	0	1
474	3	404	0	0	1
474	5	404	0	0	1
474	10	404	0	0	1
474	5	404	0	0	1
474	36	404	0	0	1
474	1	34	0	0	1
474	2	34	0	0	1
474	3	34	0	0	1
474	3	34	0	0	1
474	5	34	0	0	1
474	4	34	0	0	1
474	3	34	0	0	1
474	3	34	0	0	1
