Plcd	Pcpu	Pwifi	Pdata	Pgps	type
0	33	0	10	0	1
0	2	0	10	0	1
0	3	0	10	0	1
0	4	0	10	0	1
0	2	0	10	0	1
0	6	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	10	0	10	0	1
0	3	0	10	0	1
0	4	0	10	0	1
0	3	0	10	0	1
0	4	0	10	0	1
0	11	0	10	0	1
0	4	0	10	0	1
0	2	0	10	0	1
0	3	0	10	0	1
0	1	0	10	0	1
0	8	0	10	0	1
0	1	0	10	0	1
0	2	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	3	0	10	0	1
0	5	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	3	0	10	0	1
0	13	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	5	0	10	0	1
0	2	0	10	0	1
0	4	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	3	0	10	0	1
0	2	0	10	0	1
0	2	0	10	0	1
0	3	0	10	0	1
0	1	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	2	0	10	0	1
0	3	0	10	0	1
0	3	0	10	0	1
0	2	0	10	0	1
0	406	0	10	0	1
0	468	0	10	0	1
0	448	0	10	0	1
0	442	0	10	0	1
0	451	0	10	0	1
0	460	0	10	0	1
0	429	0	10	0	1
0	481	0	10	0	1
0	421	0	10	0	1
0	46	0	405	0	1
0	5	0	902	0	1
0	22	0	902	0	1
0	3	0	902	0	1
0	15	0	902	0	1
0	6	0	902	0	1
0	3	0	902	0	1
0	1	0	902	0	1
0	3	0	902	0	1
0	1	0	902	0	1
0	4	0	902	0	1
0	3	0	902	0	1
0	4	0	902	0	1
0	2	0	902	0	1
