Plcd	Pcpu	Pwifi	Pdata	Pgps	type
474	43	0	10	0	1
474	8	0	10	0	1
474	44	0	10	0	1
474	4	0	10	0	1
474	16	0	10	0	1
474	48	0	10	0	1
474	3	0	10	0	1
474	6	0	10	0	1
474	21	0	10	0	1
474	2	0	10	0	1
474	7	0	10	0	1
474	45	0	10	0	1
474	12	0	10	0	1
474	5	0	10	0	1
474	3	0	10	0	1
474	4	0	10	0	1
474	9	0	10	0	1
474	38	0	10	0	1
474	4	0	10	0	1
474	4	0	10	0	1
474	6	0	10	0	1
474	9	0	10	0	1
474	4	0	10	0	1
474	4	0	10	0	1
474	27	0	10	0	1
474	27	0	10	0	1
474	76	0	10	0	1
474	3	0	10	0	1
474	3	0	10	0	1
474	3	0	10	0	1
474	3	0	10	0	1
474	25	0	10	0	1
474	5	0	10	0	1
474	2	0	10	0	1
474	4	0	10	0	1
474	5	0	10	0	1
474	56	0	10	0	1
474	32	0	10	0	1
474	7	0	10	0	1
474	11	0	10	0	1
474	3	0	10	0	1
474	56	0	10	0	1
474	4	0	10	0	1
474	4	0	10	0	1
474	4	0	10	0	1
474	4	0	10	0	1
474	35	0	10	0	1
474	38	0	10	0	1
474	13	0	10	0	1
474	2	0	10	0	1
474	21	0	10	0	1
474	4	0	10	0	1
474	32	0	10	0	1
389	3	0	10	0	1
389	4	0	10	0	1
474	5	0	10	0	1
474	32	0	10	0	1
474	4	0	10	0	1
474	4	0	10	0	1
474	7	0	10	0	1
474	126	0	10	0	1
474	420	0	10	0	1
474	411	0	10	0	1
474	463	0	10	0	1
474	429	0	10	0	1
474	446	0	10	0	1
474	422	0	10	0	1
474	444	0	10	0	1
474	466	0	10	0	1
474	439	0	405	0	1
474	16	0	902	0	1
474	85	0	902	0	1
474	34	0	902	0	1
474	18	0	902	0	1
474	44	0	902	0	1
474	5	0	902	0	1
474	5	0	902	0	1
474	7	0	902	0	1
474	3	0	902	0	1
474	5	0	902	0	1
474	2	0	902	0	1
474	60	0	902	0	1
474	3	0	902	0	1
474	4	0	902	0	1
474	3	0	902	0	1
474	3	0	405	0	1
474	3	0	405	0	1
474	38	0	405	0	1
474	37	0	405	0	1
474	3	0	405	0	1
474	11	0	405	0	1
474	2	0	405	0	1
474	5	0	405	0	1
474	4	0	405	0	1
474	4	0	405	0	1
474	3	0	405	0	1
474	3	0	405	0	1
474	2	0	10	0	1
474	2	0	10	0	1
474	16	0	10	0	1
474	4	0	10	0	1
474	5	0	10	0	1
474	4	0	10	0	1
474	2	0	10	0	1
474	3	0	10	0	1
474	4	0	10	0	1
474	4	0	10	0	1
474	4	0	10	0	1
389	12	0	10	0	1
389	3	0	10	0	1
474	6	0	10	0	1
474	21	0	10	0	1
474	11	0	10	0	1
474	2	0	10	0	1
474	16	0	10	0	1
474	3	0	10	0	1
474	5	0	10	0	1
474	5	0	10	0	1
474	50	0	10	0	1
474	2	0	10	0	1
474	66	0	10	0	1
474	484	0	10	0	1
474	426	0	10	0	1
474	438	0	10	0	1
474	441	0	10	0	1
474	432	0	10	0	1
474	475	0	10	0	1
474	447	0	10	0	1
474	444	0	10	0	1
474	44	0	405	0	1
474	7	0	902	0	1
474	12	0	902	0	1
474	5	0	902	0	1
474	33	0	902	0	1
474	9	0	902	0	1
474	4	0	902	0	1
474	2	0	902	0	1
474	3	0	902	0	1
474	9	0	902	0	1
474	4	0	902	0	1
474	22	0	902	0	1
474	3	0	902	0	1
474	22	0	902	0	1
474	5	0	405	0	1
474	0	0	405	0	1
474	2	0	405	0	1
474	3	0	405	0	1
474	3	0	405	0	1
474	4	0	405	0	1
474	4	0	405	0	1
474	3	0	405	0	1
474	2	0	405	0	1
474	2	0	405	0	1
474	65	0	405	0	1
474	2	0	405	0	1
474	16	0	10	0	1
474	4	0	10	0	1
474	3	0	10	0	1
474	16	0	10	0	1
474	4	0	10	0	1
474	4	0	10	0	1
474	3	0	10	0	1
474	3	0	10	0	1
389	2	0	10	0	1
389	27	0	10	0	1
389	11	0	10	0	1
389	16	0	10	0	1
389	3	0	10	0	1
389	34	0	10	0	1
389	21	0	10	0	1
474	10	0	10	0	1
474	3	0	10	0	1
474	6	0	10	0	1
474	4	0	10	0	1
474	2	0	10	0	1
474	4	0	10	0	1
474	2	0	10	0	1
474	3	0	10	0	1
474	2	0	10	0	1
474	3	0	10	0	1
474	82	0	10	0	1
474	498	0	10	0	1
474	479	0	10	0	1
474	408	0	10	0	1
474	461	0	10	0	1
474	455	0	10	0	1
474	465	0	10	0	1
474	469	0	10	0	1
474	409	0	10	0	1
474	47	0	405	0	1
474	6	0	902	0	1
474	100	0	902	0	1
474	3	0	902	0	1
474	9	0	902	0	1
474	6	0	902	0	1
474	4	0	902	0	1
474	1	0	902	0	1
474	4	0	902	0	1
474	7	0	902	0	1
474	5	0	902	0	1
474	5	0	902	0	1
474	15	0	902	0	1
474	4	0	902	0	1
474	5	0	902	0	1
474	6	0	902	0	1
474	16	0	902	0	1
474	11	0	405	0	1
474	4	0	405	0	1
474	2	0	405	0	1
474	16	0	405	0	1
474	4	0	405	0	1
474	3	0	405	0	1
474	5	0	405	0	1
474	5	0	405	0	1
474	3	0	405	0	1
474	3	0	405	0	1
474	10	0	405	0	1
474	3	0	405	0	1
474	2	0	10	0	1
474	5	0	10	0	1
474	5	0	10	0	1
474	6	0	10	0	1
474	6	0	10	0	1
389	4	0	10	0	1
389	16	0	10	0	1
389	5	0	10	0	1
389	2	0	10	0	1
389	10	0	10	0	1
389	18	0	10	0	1
389	9	0	10	0	1
0	20	0	10	0	1
0	10	0	10	0	1
0	4	0	10	0	1
0	2	0	10	0	1
0	85	0	10	0	1
474	154	0	10	0	1
474	35	0	10	0	1
474	3	0	10	0	1
474	3	0	10	0	1
474	4	0	10	0	1
474	4	0	10	0	1
474	423	0	10	0	1
474	457	0	10	0	1
474	444	0	10	0	1
474	394	0	10	0	1
474	477	0	10	0	1
474	469	0	10	0	1
474	465	0	10	0	1
474	468	0	10	0	1
474	58	0	405	0	1
474	11	0	902	0	1
474	16	0	902	0	1
474	7	0	902	0	1
474	48	0	902	0	1
474	11	0	902	0	1
474	5	0	902	0	1
474	4	0	902	0	1
474	45	0	902	0	1
474	8	0	902	0	1
474	4	0	902	0	1
474	5	0	902	0	1
474	6	0	902	0	1
474	11	0	902	0	1
474	6	0	405	0	1
474	2	0	405	0	1
474	22	0	405	0	1
474	8	0	405	0	1
474	27	0	405	0	1
474	2	0	405	0	1
474	4	0	405	0	1
474	5	0	405	0	1
474	6	0	405	0	1
474	5	0	405	0	1
474	2	0	405	0	1
474	3	0	405	0	1
474	10	0	10	0	1
474	4	0	10	0	1
474	4	0	10	0	1
474	27	0	10	0	1
474	4	0	10	0	1
474	28	0	10	0	1
474	6	0	10	0	1
474	5	0	10	0	1
474	4	0	10	0	1
474	5	0	10	0	1
474	52	0	10	0	1
474	1	0	10	0	1
474	4	0	10	0	1
474	7	0	10	0	1
474	16	0	10	0	1
474	2	0	10	0	1
474	39	0	10	0	1
474	5	0	10	0	1
474	7	0	10	0	1
474	2	0	10	0	1
474	5	0	10	0	1
474	10	0	10	0	1
