Plcd	Pcpu	Pwifi	Pdata	Pgps	type
0	12	34	0	0	1
0	7	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	6	34	0	0	1
0	3	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	10	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	18	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	2	34	0	0	1
0	44	34	0	0	1
0	3	34	0	0	1
0	3	34	0	0	1
0	2	34	0	0	1
0	0	34	0	0	1
0	9	34	0	0	1
0	3	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	3	34	0	0	1
0	2	34	0	0	1
0	0	34	0	0	1
0	1	34	0	0	1
0	9	34	0	0	1
0	5	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	11	34	0	0	1
0	21	34	0	0	1
0	1	34	0	0	1
0	10	34	0	0	1
0	2	34	0	0	1
0	7	34	0	0	1
0	5	34	0	0	1
0	4	34	0	0	1
0	4	34	0	0	1
0	2	34	0	0	1
0	10	34	0	0	1
0	1	34	0	0	1
0	3	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	10	34	0	0	1
0	300	34	0	0	1
0	464	34	0	0	1
0	446	34	0	0	1
0	455	34	0	0	1
0	432	34	0	0	1
0	444	34	0	0	1
0	409	34	0	0	1
0	444	34	0	0	1
0	466	34	0	0	1
0	63	404	0	0	1
0	14	408	0	0	1
0	3	404	0	0	1
0	5	34	0	0	1
0	3	34	0	0	1
0	11	34	0	0	1
0	3	34	0	0	1
0	4	34	0	0	1
0	3	34	0	0	1
0	1	34	0	0	1
0	10	34	0	0	1
0	12	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	44	34	0	0	1
0	3	34	0	0	1
0	3	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	11	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	11	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	4	34	0	0	1
0	9	34	0	0	1
0	4	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	3	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	274	34	0	0	1
0	408	34	0	0	1
0	417	34	0	0	1
0	466	34	0	0	1
0	479	34	0	0	1
0	452	34	0	0	1
0	472	34	0	0	1
0	491	34	0	0	1
0	87	404	0	0	1
0	15	409	0	0	1
0	3	404	0	0	1
0	3	34	0	0	1
0	7	34	0	0	1
0	7	34	0	0	1
0	0	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	10	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	0	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	0	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	31	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	3	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	0	34	0	0	1
0	0	34	0	0	1
0	3	34	0	0	1
0	3	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	3	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	5	34	0	0	1
0	3	34	0	0	1
0	4	34	0	0	1
0	1	34	0	0	1
0	3	34	0	0	1
0	232	34	0	0	1
0	422	34	0	0	1
0	490	34	0	0	1
0	451	34	0	0	1
0	444	34	0	0	1
0	496	34	0	0	1
0	464	34	0	0	1
0	415	34	0	0	1
0	293	404	0	0	1
0	11	407	0	0	1
0	0	404	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	13	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	7	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	7	404	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	1	34	0	0	1
0	3	34	0	0	1
0	3	34	0	0	1
0	3	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	3	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	0	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	3	34	0	0	1
0	1	34	0	0	1
0	3	34	0	0	1
0	1	34	0	0	1
0	4	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	196	34	0	0	1
0	420	34	0	0	1
0	479	34	0	0	1
0	427	34	0	0	1
0	458	34	0	0	1
0	466	34	0	0	1
0	439	34	0	0	1
0	396	34	0	0	1
0	78	404	0	0	1
0	14	407	0	0	1
0	3	404	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	12	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	4	34	0	0	1
0	11	34	0	0	1
0	3	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	3	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	3	34	0	0	1
0	2	34	0	0	1
0	4	34	0	0	1
0	1	34	0	0	1
0	3	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	0	34	0	0	1
0	0	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	3	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	109	34	0	0	1
0	431	34	0	0	1
0	435	34	0	0	1
0	458	34	0	0	1
0	462	34	0	0	1
0	443	34	0	0	1
0	445	34	0	0	1
0	481	34	0	0	1
0	448	34	0	0	1
0	11	404	0	0	1
0	11	407	0	0	1
0	2	404	0	0	1
0	0	34	0	0	1
0	9	34	0	0	1
0	4	34	0	0	1
0	1	34	0	0	1
0	3	34	0	0	1
0	1	34	0	0	1
0	3	34	0	0	1
0	2	34	0	0	1
0	10	34	0	0	1
0	3	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	3	34	0	0	1
0	2	34	0	0	1
0	0	34	0	0	1
0	0	34	0	0	1
0	3	34	0	0	1
0	1	34	0	0	1
0	3	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	0	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	1	34	0	0	1
0	4	34	0	0	1
0	8	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	1	34	0	0	1
0	4	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	72	34	0	0	1
0	457	34	0	0	1
0	448	34	0	0	1
0	483	34	0	0	1
0	453	34	0	0	1
0	425	34	0	0	1
0	497	34	0	0	1
0	446	34	0	0	1
0	114	34	0	0	1
0	25	404	0	0	1
0	7	406	0	0	1
0	3	404	0	0	1
0	6	34	0	0	1
0	6	34	0	0	1
0	5	34	0	0	1
0	1	34	0	0	1
0	0	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	11	34	0	0	1
0	10	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	3	34	0	0	1
0	3	34	0	0	1
0	3	34	0	0	1
0	3	34	0	0	1
0	2	34	0	0	1
0	4	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	4	34	0	0	1
0	1	34	0	0	1
0	3	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	3	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	429	34	0	0	1
0	424	34	0	0	1
0	475	34	0	0	1
0	457	34	0	0	1
0	397	34	0	0	1
0	451	34	0	0	1
0	454	34	0	0	1
0	465	34	0	0	1
0	33	404	0	0	1
0	13	407	0	0	1
0	3	404	0	0	1
0	16	34	0	0	1
0	10	34	0	0	1
0	7	34	0	0	1
0	1	34	0	0	1
0	3	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	10	34	0	0	1
0	3	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	10	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	6	34	0	0	1
0	3	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	11	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	3	34	0	0	1
0	0	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	3	34	0	0	1
0	1	34	0	0	1
0	3	34	0	0	1
0	3	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	403	34	0	0	1
0	0	34	0	0	1
0	0	34	0	0	1
0	456	34	0	0	1
0	474	34	0	0	1
0	492	34	0	0	1
0	491	34	0	0	1
0	444	34	0	0	1
0	31	404	0	0	1
0	6	407	0	0	1
0	4	404	0	0	1
0	2	34	0	0	1
0	33	34	0	0	1
0	6	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	3	34	0	0	1
0	14	34	0	0	1
0	1	34	0	0	1
0	3	34	0	0	1
0	1	34	0	0	1
0	3	34	0	0	1
0	3	34	0	0	1
0	3	34	0	0	1
0	3	34	0	0	1
0	31	34	0	0	1
0	2	34	0	0	1
0	13	404	0	0	1
0	46	404	0	0	1
0	22	34	0	0	1
0	21	34	0	0	1
0	3	34	0	0	1
0	33	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	0	34	0	0	1
0	7	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	5	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	1	34	0	0	1
0	38	34	0	0	1
0	71	34	0	0	1
0	3	34	0	0	1
0	3	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	338	34	0	0	1
0	394	34	0	0	1
0	460	34	0	0	1
0	419	34	0	0	1
0	469	34	0	0	1
0	455	34	0	0	1
0	436	34	0	0	1
0	466	34	0	0	1
0	51	404	0	0	1
0	10	407	0	0	1
0	1	404	0	0	1
0	3	34	0	0	1
0	6	34	0	0	1
0	4	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	3	34	0	0	1
0	3	34	0	0	1
0	10	34	0	0	1
0	3	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	4	34	0	0	1
0	3	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	4	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	292	34	0	0	1
0	454	34	0	0	1
0	453	34	0	0	1
0	417	34	0	0	1
0	450	34	0	0	1
0	451	34	0	0	1
0	437	34	0	0	1
0	433	34	0	0	1
0	69	404	0	0	1
0	8	407	0	0	1
0	3	404	0	0	1
0	5	34	0	0	1
0	2	34	0	0	1
