Plcd	Pcpu	Pwifi	Pdata	Pgps	type
474	140	34	0	0	1
474	312	34	0	0	1
474	4	34	0	0	1
474	3	34	0	0	1
474	22	34	0	0	1
474	4	34	0	0	1
474	2	34	0	0	1
474	0	34	0	0	1
474	11	34	0	0	1
474	3	34	0	0	1
474	2	34	0	0	1
474	6	34	0	0	1
474	16	34	0	0	1
474	3	34	0	0	1
474	11	34	0	0	1
474	3	34	0	0	1
474	22	34	0	0	1
474	9	34	0	0	1
474	2	34	0	0	1
474	4	34	0	0	1
474	5	34	0	0	1
474	2	34	0	0	1
474	2	34	0	0	1
474	8	34	0	0	1
474	3	34	0	0	1
474	8	34	0	0	1
474	4	34	0	0	1
474	2	34	0	0	1
474	3	34	0	0	1
474	0	34	0	0	1
474	27	34	0	0	1
474	10	34	0	0	1
474	26	34	0	0	1
474	4	34	0	0	1
474	4	34	0	0	1
474	6	34	0	0	1
474	5	34	0	0	1
474	3	34	0	0	1
474	2	34	0	0	1
474	1	34	0	0	1
474	12	34	0	0	1
474	3	34	0	0	1
474	21	34	0	0	1
474	3	34	0	0	1
474	5	34	0	0	1
474	12	34	0	0	1
474	4	34	0	0	1
474	3	34	0	0	1
474	3	34	0	0	1
474	1	34	0	0	1
474	3	34	0	0	1
474	32	34	0	0	1
474	2	34	0	0	1
389	16	34	0	0	1
389	1	34	0	0	1
389	8	34	0	0	1
389	4	34	0	0	1
389	1	34	0	0	1
389	3	34	0	0	1
389	5	34	0	0	1
365	26	34	0	0	1
0	375	34	0	0	1
474	369	34	0	0	1
474	375	34	0	0	1
474	463	34	0	0	1
474	440	34	0	0	1
474	444	34	0	0	1
474	458	34	0	0	1
474	433	34	0	0	1
474	469	34	0	0	1
474	428	34	0	0	1
474	49	404	0	0	1
474	65	407	0	0	1
474	6	404	0	0	1
474	16	34	0	0	1
474	10	34	0	0	1
474	10	34	0	0	1
474	7	34	0	0	1
474	35	34	0	0	1
474	3	34	0	0	1
474	0	34	0	0	1
474	2	34	0	0	1
474	3	34	0	0	1
474	9	34	0	0	1
474	2	34	0	0	1
474	0	34	0	0	1
474	4	34	0	0	1
474	5	34	0	0	1
474	21	34	0	0	1
474	2	34	0	0	1
474	1	34	0	0	1
474	3	34	0	0	1
474	3	34	0	0	1
474	10	34	0	0	1
474	16	34	0	0	1
474	4	34	0	0	1
474	10	34	0	0	1
474	3	34	0	0	1
474	56	34	0	0	1
474	6	34	0	0	1
474	0	34	0	0	1
474	2	34	0	0	1
474	2	34	0	0	1
474	38	34	0	0	1
474	5	34	0	0	1
474	1	34	0	0	1
474	10	34	0	0	1
474	4	34	0	0	1
474	39	34	0	0	1
474	1	34	0	0	1
474	3	34	0	0	1
474	2	34	0	0	1
474	5	34	0	0	1
474	38	34	0	0	1
474	0	34	0	0	1
474	5	34	0	0	1
474	5	34	0	0	1
474	16	34	0	0	1
474	3	34	0	0	1
474	7	34	0	0	1
474	5	34	0	0	1
474	430	34	0	0	1
474	426	34	0	0	1
474	442	34	0	0	1
474	449	34	0	0	1
474	449	34	0	0	1
474	440	34	0	0	1
474	415	34	0	0	1
474	433	34	0	0	1
474	375	404	0	0	1
474	10	407	0	0	1
474	16	404	0	0	1
474	2	34	0	0	1
474	11	34	0	0	1
474	9	34	0	0	1
474	6	34	0	0	1
474	4	34	0	0	1
474	2	34	0	0	1
474	4	34	0	0	1
474	11	34	0	0	1
