Plcd	Pcpu	Pwifi	Pdata	Pgps	type
0	287	0	902	0	0
0	49	0	902	0	0
0	340	0	902	0	0
0	405	0	902	0	0
0	476	0	902	0	0
0	124	0	902	0	0
0	162	0	902	0	0
0	120	0	902	0	0
0	115	0	902	0	0
0	115	0	902	0	0
0	378	0	902	0	0
0	116	0	902	0	0
0	124	0	902	0	0
0	110	0	902	0	0
0	118	0	902	0	0
0	111	0	902	0	0
0	124	0	405	0	0
0	113	0	405	0	0
0	118	0	902	0	0
0	119	0	902	0	0
0	110	0	902	0	0
0	114	0	902	0	0
0	118	0	902	0	0
0	116	0	902	0	0
0	114	0	405	0	0
0	109	0	405	0	0
0	123	0	405	0	0
0	115	0	405	0	0
0	109	0	405	0	0
0	114	0	405	0	0
0	114	0	405	0	0
0	106	0	405	0	0
0	108	0	405	0	0
0	393	0	405	0	0
0	110	0	405	0	0
0	112	0	405	0	0
0	118	0	10	0	0
0	112	0	10	0	0
0	116	0	10	0	0
0	112	0	10	0	0
0	116	0	10	0	0
0	117	0	10	0	0
0	110	0	10	0	0
0	119	0	10	0	0
0	119	0	10	0	0
0	120	0	10	0	0
0	116	0	10	0	0
0	115	0	10	0	0
0	120	0	10	0	0
0	115	0	10	0	0
0	111	0	10	0	0
0	115	0	10	0	0
0	112	0	10	0	0
0	116	0	10	0	0
0	117	0	10	0	0
0	111	0	10	0	0
0	111	0	10	0	0
0	116	0	10	0	0
0	114	0	10	0	0
0	397	0	10	0	0
0	83	0	10	0	0
0	113	0	10	0	0
0	139	0	405	0	0
0	120	0	405	0	0
0	121	0	405	0	0
0	121	0	405	0	0
0	120	0	405	0	0
0	245	0	405	0	0
0	120	0	405	0	0
0	118	0	405	0	0
0	113	0	405	0	0
0	120	0	405	0	0
0	185	0	405	0	0
0	121	0	405	0	0
0	117	0	10	0	0
0	111	0	10	0	0
0	117	0	10	0	0
0	146	0	10	0	0
0	120	0	10	0	0
0	111	0	10	0	0
0	112	0	10	0	0
0	120	0	10	0	0
0	159	0	10	0	0
0	118	0	10	0	0
0	117	0	10	0	0
0	113	0	10	0	0
0	120	0	10	0	0
0	397	0	10	0	0
0	113	0	10	0	0
0	110	0	10	0	0
0	411	0	10	0	0
0	109	0	10	0	0
0	401	0	10	0	0
0	106	0	10	0	0
0	112	0	10	0	0
0	114	0	10	0	0
0	116	0	10	0	0
0	183	0	10	0	0
0	419	0	10	0	0
0	114	0	10	0	0
0	398	0	10	0	0
0	116	0	10	0	0
0	226	0	10	0	0
0	119	0	10	0	0
0	116	0	10	0	0
0	113	0	10	0	0
0	112	0	10	0	0
0	185	0	10	0	0
0	109	0	10	0	0
0	117	0	10	0	0
0	99	0	10	0	0
0	110	0	10	0	0
0	104	0	10	0	0
0	112	0	10	0	0
0	112	0	10	0	0
0	116	0	10	0	0
0	119	0	10	0	0
0	116	0	10	0	0
0	110	0	10	0	0
0	114	0	10	0	0
0	415	0	10	0	0
0	114	0	10	0	0
0	112	0	10	0	0
0	111	0	10	0	0
0	113	0	10	0	0
0	107	0	10	0	0
0	121	0	10	0	0
0	120	0	10	0	0
0	116	0	10	0	0
0	114	0	10	0	0
0	118	0	10	0	0
0	113	0	10	0	0
0	112	0	10	0	0
0	117	0	10	0	0
0	118	0	10	0	0
0	116	0	10	0	0
0	122	0	10	0	0
0	118	0	10	0	0
0	115	0	10	0	0
0	118	0	10	0	0
0	110	0	10	0	0
0	118	0	10	0	0
0	106	0	10	0	0
0	113	0	10	0	0
0	116	0	10	0	0
0	101	0	10	0	0
0	120	0	10	0	0
0	104	0	10	0	0
0	120	0	10	0	0
0	116	0	10	0	0
0	374	0	10	0	0
0	393	0	10	0	0
0	113	0	10	0	0
0	115	0	10	0	0
0	122	0	10	0	0
0	115	0	10	0	0
0	119	0	10	0	0
0	111	0	10	0	0
0	108	0	10	0	0
0	117	0	10	0	0
0	115	0	10	0	0
0	116	0	10	0	0
0	113	0	10	0	0
0	112	0	10	0	0
0	119	0	10	0	0
0	113	0	10	0	0
0	118	0	10	0	0
0	109	0	10	0	0
0	117	0	10	0	0
0	118	0	405	0	0
0	112	0	902	0	0
0	112	0	902	0	0
0	121	0	902	0	0
0	111	0	902	0	0
