Plcd	Pcpu	Pwifi	Pdata	Pgps	type
474	379	0	10	0	0
474	328	0	405	0	0
474	307	0	902	0	0
474	321	0	902	0	0
474	0	0	902	0	0
474	0	0	902	0	0
474	0	0	0	0	0
0	382	0	0	0	0
474	379	0	902	0	0
474	398	0	902	0	0
474	135	0	902	0	0
474	427	0	902	0	0
474	392	0	902	0	0
474	360	0	902	0	0
474	367	0	902	0	0
474	403	0	902	0	0
474	194	0	902	0	0
474	382	0	902	0	0
474	445	0	902	0	0
474	409	0	902	0	0
474	382	0	902	0	0
474	354	0	902	0	0
474	371	0	902	0	0
474	365	0	902	0	0
474	441	0	902	0	0
474	410	0	902	0	0
0	0	0	0	0	0
474	0	0	902	0	0
474	439	0	902	0	0
474	483	0	902	0	0
474	507	0	902	0	0
474	462	0	902	0	0
474	508	0	902	0	0
474	476	0	902	0	0
474	495	0	902	0	0
474	458	0	902	0	0
474	525	0	902	0	0
474	476	0	902	0	0
474	501	0	902	0	0
474	507	0	902	0	0
474	526	0	902	0	0
474	503	0	405	0	0
474	510	0	405	0	0
0	0	0	0	0	0
474	530	0	405	0	0
474	506	0	405	0	0
474	513	0	405	0	0
474	506	0	405	0	0
474	0	0	405	0	0
474	0	0	405	0	0
474	486	0	902	0	0
474	451	0	902	0	0
474	486	0	902	0	0
474	418	0	902	0	0
474	463	0	902	0	0
474	501	0	902	0	0
474	486	0	902	0	0
474	428	0	902	0	0
474	444	0	902	0	0
474	437	0	902	0	0
474	468	0	902	0	0
474	138	0	902	0	0
474	119	0	902	0	0
474	370	0	902	0	0
474	76	0	902	0	0
474	378	0	902	0	0
474	397	0	902	0	0
474	384	0	902	0	0
474	365	0	902	0	0
474	191	0	902	0	0
474	365	0	902	0	0
474	109	0	902	0	0
474	446	0	902	0	0
474	401	0	902	0	0
474	130	0	902	0	0
474	351	0	902	0	0
474	124	0	902	0	0
474	244	0	902	0	0
474	369	0	902	0	0
474	108	0	902	0	0
474	343	0	902	0	0
474	433	0	902	0	0
474	344	0	902	0	0
474	396	0	902	0	0
474	91	0	902	0	0
474	383	0	902	0	0
474	337	0	405	0	0
474	354	0	405	0	0
474	326	0	405	0	0
474	343	0	405	0	0
474	324	0	405	0	0
474	372	0	405	0	0
474	361	0	405	0	0
474	358	0	405	0	0
474	338	0	405	0	0
474	325	0	405	0	0
474	367	0	405	0	0
474	293	0	405	0	0
474	93	0	10	0	0
474	421	0	10	0	0
474	137	0	405	0	0
474	312	0	902	0	0
474	339	0	902	0	0
474	323	0	902	0	0
474	317	0	902	0	0
474	389	0	902	0	0
474	403	0	902	0	0
