Plcd	Pcpu	Pwifi	Pdata	Pgps	type
474	408	404	0	0	0
474	422	34	0	0	0
474	451	404	0	0	0
474	343	34	0	0	0
474	391	34	0	0	0
474	411	34	0	0	0
474	346	34	0	0	0
474	177	34	0	0	0
474	415	34	0	0	0
474	56	34	0	0	0
474	9	34	0	0	0
0	456	404	0	0	0
474	473	34	0	0	0
474	411	404	0	0	0
474	389	34	0	0	0
474	423	404	0	0	0
474	408	404	0	0	0
474	394	34	0	0	0
474	371	34	0	0	0
474	405	34	0	0	0
474	440	34	0	0	0
474	456	34	0	0	0
474	505	34	0	0	0
474	466	34	0	0	0
474	450	34	0	0	0
474	485	34	0	0	0
474	492	34	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
474	495	34	0	0	0
474	494	34	0	0	0
474	521	34	0	0	0
474	510	34	0	0	0
474	519	34	0	0	0
474	518	34	0	0	0
474	516	34	0	0	0
474	501	34	0	0	0
474	462	34	0	0	0
474	503	34	0	0	0
474	509	34	0	0	0
474	488	34	0	0	0
474	500	34	0	0	0
474	452	34	0	0	0
474	516	404	0	0	0
474	499	404	0	0	0
474	454	34	0	0	0
474	489	404	0	0	0
474	446	34	0	0	0
474	433	404	0	0	0
474	473	404	0	0	0
474	463	404	0	0	0
474	437	404	0	0	0
474	439	404	0	0	0
474	141	404	0	0	0
474	425	404	0	0	0
474	449	404	0	0	0
474	474	404	0	0	0
474	429	404	0	0	0
474	486	34	0	0	0
474	465	34	0	0	0
474	461	34	0	0	0
474	465	34	0	0	0
474	479	34	0	0	0
474	491	34	0	0	0
474	438	34	0	0	0
474	439	34	0	0	0
474	452	34	0	0	0
474	441	34	0	0	0
474	342	34	0	0	0
474	415	34	0	0	0
474	162	34	0	0	0
474	374	34	0	0	0
474	333	34	0	0	0
474	365	34	0	0	0
474	317	34	0	0	0
474	81	34	0	0	0
474	358	34	0	0	0
474	438	34	0	0	0
474	151	34	0	0	0
474	362	34	0	0	0
474	369	34	0	0	0
474	386	34	0	0	0
474	375	34	0	0	0
474	182	34	0	0	0
474	392	34	0	0	0
474	144	404	0	0	0
474	403	34	0	0	0
474	455	404	0	0	0
474	386	404	0	0	0
474	391	404	0	0	0
474	178	34	0	0	0
474	360	34	0	0	0
474	389	34	0	0	0
474	394	34	0	0	0
474	376	34	0	0	0
474	390	34	0	0	0
474	398	34	0	0	0
474	369	34	0	0	0
474	390	34	0	0	0
474	361	34	0	0	0
474	382	34	0	0	0
474	351	34	0	0	0
474	131	34	0	0	0
474	393	34	0	0	0
474	396	34	0	0	0
474	388	34	0	0	0
474	198	34	0	0	0
474	383	34	0	0	0
474	356	34	0	0	0
474	374	34	0	0	0
474	294	34	0	0	0
474	394	34	0	0	0
474	358	34	0	0	0
474	438	34	0	0	0
474	477	34	0	0	0
474	514	34	0	0	0
474	481	34	0	0	0
474	463	34	0	0	0
474	480	34	0	0	0
474	480	34	0	0	0
474	503	34	0	0	0
474	502	34	0	0	0
474	498	34	0	0	0
474	509	34	0	0	0
474	504	34	0	0	0
0	0	34	0	0	0
0	0	34	0	0	0
0	0	34	0	0	0
474	515	34	0	0	0
474	511	34	0	0	0
474	500	34	0	0	0
474	501	34	0	0	0
474	511	34	0	0	0
474	501	34	0	0	0
474	528	34	0	0	0
474	519	34	0	0	0
474	493	34	0	0	0
474	511	34	0	0	0
474	499	34	0	0	0
474	488	34	0	0	0
474	507	34	0	0	0
474	488	34	0	0	0
474	497	34	0	0	0
474	526	34	0	0	0
474	490	404	0	0	0
474	432	34	0	0	0
474	474	34	0	0	0
474	436	404	0	0	0
474	491	404	0	0	0
474	473	34	0	0	0
474	474	404	0	0	0
474	498	34	0	0	0
474	481	404	0	0	0
474	513	404	0	0	0
474	415	34	0	0	0
474	464	34	0	0	0
474	484	34	0	0	0
474	449	34	0	0	0
474	460	34	0	0	0
474	472	34	0	0	0
474	475	34	0	0	0
474	526	34	0	0	0
474	501	34	0	0	0
474	428	34	0	0	0
474	438	34	0	0	0
474	465	34	0	0	0
474	477	34	0	0	0
474	393	34	0	0	0
474	419	404	0	0	0
474	443	404	0	0	0
474	455	34	0	0	0
474	425	404	0	0	0
474	439	404	0	0	0
474	388	34	0	0	0
474	438	404	0	0	0
474	458	34	0	0	0
474	446	34	0	0	0
474	460	34	0	0	0
474	447	34	0	0	0
474	446	34	0	0	0
474	444	34	0	0	0
474	456	34	0	0	0
474	459	34	0	0	0
474	483	34	0	0	0
474	434	34	0	0	0
474	492	34	0	0	0
474	489	34	0	0	0
474	490	34	0	0	0
474	418	34	0	0	0
474	474	34	0	0	0
474	458	34	0	0	0
474	0	34	0	0	0
0	0	0	0	0	0
474	483	34	0	0	0
474	478	34	0	0	0
474	450	34	0	0	0
474	475	34	0	0	0
474	452	34	0	0	0
474	454	34	0	0	0
474	460	34	0	0	0
474	450	34	0	0	0
474	454	34	0	0	0
474	493	34	0	0	0
474	469	34	0	0	0
474	462	34	0	0	0
474	461	34	0	0	0
474	481	34	0	0	0
474	440	34	0	0	0
474	473	34	0	0	0
474	469	34	0	0	0
474	444	34	0	0	0
474	455	34	0	0	0
474	468	34	0	0	0
474	486	34	0	0	0
474	491	34	0	0	0
474	403	34	0	0	0
474	443	34	0	0	0
474	420	34	0	0	0
474	497	34	0	0	0
474	472	34	0	0	0
474	497	34	0	0	0
474	432	34	0	0	0
474	485	34	0	0	0
474	473	34	0	0	0
474	448	34	0	0	0
474	409	34	0	0	0
474	400	34	0	0	0
474	415	34	0	0	0
474	390	34	0	0	0
474	418	34	0	0	0
474	401	34	0	0	0
474	343	34	0	0	0
474	433	34	0	0	0
