Plcd	Pcpu	Pwifi	Pdata	Pgps	type
0	387	0	902	17	0
0	27	0	902	17	0
0	82	0	902	17	0
0	217	0	902	17	0
0	1	0	902	17	0
0	147	0	902	6	0
0	34	0	902	0	0
0	10	0	902	0	0
0	69	0	902	0	0
0	78	0	902	0	0
0	11	0	902	0	0
0	8	0	902	0	0
0	21	0	902	0	0
0	20	0	902	0	0
0	3	0	902	0	0
0	10	0	902	0	0
0	4	0	902	0	0
0	1	0	902	0	0
0	4	0	405	0	0
0	3	0	405	0	0
0	8	0	405	0	0
0	2	0	405	0	0
0	3	0	405	0	0
0	2	0	405	0	0
0	4	0	405	0	0
0	18	0	405	0	0
0	2	0	405	0	0
0	4	0	405	0	0
0	1	0	405	0	0
0	3	0	405	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	0	0	10	0	0
0	1	0	10	0	0
0	12	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	3	0	10	0	0
0	9	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	0	0	10	0	0
0	2	0	10	0	0
0	9	0	10	0	0
0	4	0	10	0	0
0	2	0	10	0	0
0	3	0	10	0	0
0	1	0	10	0	0
0	10	0	10	0	0
0	2	0	10	0	0
0	10	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	10	0	10	0	0
0	2	0	10	0	0
0	3	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	8	0	10	0	0
0	4	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	5	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	4	0	10	0	0
0	3	0	10	0	0
0	10	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	0	0	10	0	0
0	2	0	10	0	0
0	11	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	3	0	10	0	0
0	1	0	10	0	0
0	10	0	10	0	0
0	2	0	10	0	0
0	0	0	10	0	0
0	0	0	10	0	0
0	1	0	10	0	0
0	5	0	10	0	0
0	13	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	13	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	0	0	10	0	0
0	3	0	10	0	0
0	3	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	3	0	10	0	0
0	2	0	10	0	0
0	3	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	0	0	10	0	0
0	0	0	10	0	0
0	1	0	10	0	0
0	0	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	0	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	3	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	0	0	10	0	0
0	3	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	0	0	10	0	0
0	1	0	10	0	0
0	4	0	10	0	0
0	1	0	10	0	0
0	0	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	10	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	0	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	0	0	10	0	0
0	1	0	10	0	0
0	4	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	0	0	10	0	0
0	0	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	0	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	3	0	10	0	0
0	1	0	10	0	0
0	0	0	10	0	0
0	1	0	10	0	0
0	0	0	10	0	0
0	0	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	0	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	0	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	0	0	10	0	0
0	3	0	10	0	0
0	1	0	10	0	0
0	0	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	0	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
