Plcd	Pcpu	Pwifi	Pdata	Pgps	type
474	328	0	10	0	0
474	422	0	405	40	0
474	376	0	902	268	0
474	404	0	902	268	0
474	319	0	902	268	0
474	28	0	902	268	0
474	163	0	902	268	0
474	0	0	902	268	0
474	0	0	902	268	0
474	0	0	902	268	0
474	396	0	902	268	0
474	25	0	902	268	0
474	180	0	902	268	0
474	26	0	902	268	0
474	56	0	902	268	0
474	271	0	902	268	0
474	148	0	902	268	0
474	38	0	902	268	0
474	75	0	902	268	0
474	98	0	902	268	0
474	25	0	902	268	0
474	28	0	902	268	0
474	202	0	902	268	0
474	46	0	902	268	0
474	27	0	902	268	0
474	164	0	902	268	0
474	25	0	902	268	0
474	29	0	405	268	0
474	23	0	405	268	0
474	29	0	405	268	0
474	26	0	405	268	0
474	25	0	405	268	0
474	166	0	405	268	0
474	378	0	902	268	0
474	257	0	902	268	0
474	64	0	902	268	0
474	404	0	902	268	0
474	450	0	902	268	0
474	419	0	902	268	0
474	0	0	902	268	0
474	0	0	902	268	0
0	0	0	0	268	0
474	110	0	902	268	0
474	31	0	902	268	0
474	234	0	902	268	0
474	391	0	902	268	0
474	363	0	902	268	0
474	356	0	902	268	0
474	367	0	902	268	0
474	405	0	902	268	0
474	75	0	902	268	0
474	32	0	902	268	0
474	34	0	902	268	0
474	346	0	902	268	0
474	384	0	902	268	0
474	227	0	902	268	0
474	301	0	902	268	0
474	425	0	902	268	0
474	64	0	902	268	0
474	233	0	902	268	0
474	384	0	902	268	0
474	435	0	902	268	0
474	411	0	902	268	0
474	442	0	902	268	0
474	356	0	902	268	0
474	412	0	902	268	0
474	427	0	902	268	0
474	314	0	902	268	0
474	367	0	902	268	0
474	388	0	902	268	0
474	404	0	902	268	0
474	436	0	902	268	0
474	462	0	902	268	0
474	473	0	902	268	0
474	389	0	902	268	0
474	451	0	902	268	0
474	449	0	902	268	0
474	462	0	902	268	0
474	444	0	902	268	0
474	413	0	902	268	0
474	449	0	902	268	0
0	0	0	0	268	0
0	0	0	0	268	0
474	410	0	902	268	0
474	460	0	902	268	0
474	412	0	902	268	0
474	433	0	902	268	0
474	259	0	902	268	0
474	49	0	902	268	0
474	85	0	902	268	0
474	367	0	902	268	0
474	32	0	405	268	0
474	386	0	902	268	0
474	437	0	902	268	0
474	450	0	902	268	0
474	368	0	902	268	0
474	363	0	902	268	0
474	345	0	902	268	0
474	36	0	902	268	0
474	130	0	902	268	0
474	142	0	902	268	0
474	158	0	902	268	0
474	34	0	902	268	0
474	44	0	902	268	0
474	133	0	902	268	0
474	212	0	902	268	0
474	95	0	902	268	0
474	298	0	902	268	0
474	336	0	902	268	0
474	124	0	902	268	0
474	30	0	902	268	0
474	23	0	902	268	0
474	52	0	902	268	0
474	23	0	902	268	0
474	113	0	902	268	0
474	22	0	902	268	0
474	345	0	902	268	0
474	378	0	902	268	0
474	34	0	902	268	0
474	36	0	902	268	0
474	36	0	902	268	0
474	33	0	405	268	0
474	164	0	405	268	0
474	19	0	405	268	0
474	126	0	405	268	0
474	22	0	405	268	0
474	120	0	405	268	0
474	120	0	405	268	0
474	425	0	405	268	0
474	36	0	405	268	0
474	282	0	405	268	0
474	376	0	405	268	0
474	84	0	405	268	0
474	326	0	10	268	0
474	188	0	10	268	0
474	169	0	10	268	0
474	98	0	10	268	0
474	40	0	10	268	0
474	108	0	10	268	0
474	202	0	405	268	0
474	309	0	902	268	0
474	25	0	902	268	0
474	367	0	902	268	0
474	326	0	902	268	0
474	80	0	902	268	0
474	305	0	902	268	0
474	195	0	902	268	0
474	358	0	902	268	0
474	46	0	902	268	0
474	104	0	902	268	0
474	31	0	405	268	0
474	242	0	405	268	0
474	162	0	405	268	0
474	137	0	405	268	0
474	405	0	902	268	0
474	153	0	902	268	0
474	137	0	902	268	0
474	30	0	902	268	0
474	24	0	902	268	0
474	121	0	902	268	0
474	24	0	902	268	0
474	93	0	405	268	0
474	39	0	405	268	0
474	23	0	405	268	0
474	233	0	902	268	0
474	175	0	902	268	0
474	52	0	902	268	0
474	305	0	902	268	0
474	252	0	902	268	0
474	320	0	902	268	0
474	318	0	902	268	0
474	153	0	902	268	0
474	323	0	902	268	0
474	199	0	902	268	0
474	54	0	902	268	0
474	36	0	902	268	0
474	317	0	902	268	0
474	457	0	902	268	0
474	456	0	902	268	0
474	419	0	902	268	0
474	409	0	902	268	0
474	69	0	902	268	0
474	204	0	902	268	0
474	31	0	902	268	0
474	58	0	902	268	0
474	31	0	902	268	0
474	171	0	902	268	0
474	152	0	902	268	0
474	41	0	902	268	0
474	36	0	902	268	0
474	31	0	902	268	0
474	213	0	902	268	0
474	379	0	902	268	0
474	77	0	902	268	0
474	22	0	902	268	0
474	35	0	902	268	0
474	331	0	902	268	0
474	80	0	902	268	0
474	381	0	902	268	0
474	370	0	902	268	0
474	330	0	902	268	0
474	428	0	902	268	0
474	356	0	902	268	0
474	348	0	902	268	0
474	372	0	902	268	0
474	378	0	902	268	0
474	391	0	902	268	0
474	137	0	902	268	0
474	29	0	902	268	0
474	137	0	405	268	0
474	400	0	405	268	0
474	356	0	405	268	0
474	341	0	405	268	0
474	327	0	405	268	0
474	195	0	405	268	0
474	401	0	902	268	0
474	289	0	902	268	0
474	121	0	902	268	0
474	161	0	902	268	0
474	339	0	902	268	0
474	18	0	902	268	0
474	271	0	902	268	0
474	50	0	902	268	0
474	323	0	902	268	0
474	372	0	902	268	0
474	453	0	902	268	0
474	71	0	902	268	0
474	120	0	902	268	0
474	329	0	902	268	0
474	66	0	902	268	0
474	370	0	902	268	0
474	372	0	902	268	0
474	307	0	902	268	0
474	448	0	902	268	0
474	112	0	902	268	0
474	24	0	902	268	0
474	132	0	902	268	0
474	33	0	902	268	0
474	228	0	902	268	0
474	441	0	902	268	0
474	383	0	902	268	0
474	408	0	902	268	0
474	379	0	902	268	0
474	34	0	902	268	0
474	142	0	902	268	0
474	27	0	902	268	0
474	126	0	902	268	0
474	33	0	405	268	0
474	75	0	405	268	0
474	115	0	405	268	0
474	358	0	405	268	0
474	49	0	405	268	0
474	339	0	902	268	0
474	337	0	902	268	0
474	41	0	902	268	0
474	443	0	902	268	0
474	346	0	902	268	0
474	227	0	902	268	0
474	306	0	902	268	0
474	401	0	902	268	0
474	333	0	902	268	0
474	409	0	902	268	0
474	359	0	902	268	0
474	412	0	902	268	0
474	427	0	902	268	0
474	412	0	902	268	0
474	347	0	902	268	0
474	59	0	902	268	0
474	379	0	902	268	0
474	376	0	902	268	0
474	401	0	405	268	0
474	310	0	405	268	0
474	415	0	405	268	0
474	401	0	902	268	0
474	382	0	902	268	0
474	354	0	902	268	0
474	380	0	902	268	0
474	65	0	902	268	0
474	25	0	902	268	0
474	296	0	902	268	0
474	211	0	902	268	0
474	263	0	902	268	0
474	105	0	405	268	0
474	374	0	405	268	0
474	404	0	405	268	0
474	76	0	405	268	0
474	175	0	405	268	0
474	388	0	405	268	0
474	29	0	405	268	0
474	290	0	405	268	0
474	358	0	902	268	0
474	236	0	902	268	0
474	356	0	902	268	0
474	49	0	902	268	0
474	22	0	902	268	0
474	120	0	902	268	0
474	374	0	405	268	0
474	95	0	405	268	0
474	347	0	405	268	0
474	51	0	405	268	0
474	21	0	405	268	0
474	29	0	405	268	0
474	19	0	405	268	0
474	39	0	405	268	0
474	22	0	405	268	0
474	35	0	405	268	0
474	23	0	405	268	0
474	104	0	405	268	0
474	23	0	10	268	0
474	120	0	10	268	0
474	201	0	10	268	0
474	338	0	10	268	0
474	409	0	10	268	0
474	283	0	10	268	0
474	109	0	10	268	0
474	150	0	10	268	0
474	21	0	10	268	0
474	308	0	10	268	0
474	372	0	10	268	0
474	198	0	10	268	0
474	354	0	10	268	0
474	379	0	405	268	0
474	326	0	902	268	0
474	374	0	902	268	0
474	404	0	902	268	0
474	53	0	902	268	0
474	38	0	902	268	0
474	306	0	902	268	0
474	355	0	902	268	0
474	375	0	902	268	0
474	365	0	902	268	0
474	118	0	902	268	0
474	287	0	902	268	0
474	287	0	902	268	0
474	324	0	902	268	0
474	39	0	902	268	0
474	312	0	902	268	0
474	33	0	902	268	0
474	308	0	902	268	0
474	173	0	902	268	0
474	25	0	902	268	0
474	152	0	902	268	0
474	49	0	902	268	0
474	303	0	902	268	0
474	86	0	902	268	0
474	411	0	902	268	0
474	306	0	902	268	0
474	293	0	902	268	0
474	369	0	902	268	0
474	389	0	902	268	0
474	37	0	902	268	0
474	175	0	902	268	0
474	59	0	902	268	0
474	169	0	902	268	0
474	321	0	902	268	0
474	374	0	902	268	0
474	374	0	902	268	0
474	368	0	902	268	0
474	346	0	902	268	0
474	385	0	902	268	0
474	38	0	902	268	0
474	204	0	902	268	0
474	361	0	902	268	0
474	334	0	902	268	0
474	363	0	902	268	0
474	243	0	902	268	0
474	215	0	902	268	0
474	347	0	902	268	0
474	385	0	902	268	0
474	382	0	902	268	0
474	304	0	902	268	0
474	18	0	902	268	0
474	263	0	902	268	0
474	190	0	902	268	0
474	180	0	902	268	0
474	39	0	902	268	0
474	19	0	902	268	0
474	247	0	902	268	0
474	403	0	902	268	0
474	35	0	405	268	0
474	20	0	405	268	0
474	16	0	405	268	0
474	36	0	405	268	0
474	142	0	405	268	0
474	87	0	405	268	0
474	18	0	405	268	0
474	23	0	405	268	0
474	44	0	405	268	0
474	119	0	405	268	0
474	179	0	405	268	0
474	32	0	405	268	0
474	171	0	10	268	0
474	50	0	405	268	0
474	200	0	902	268	0
474	26	0	902	268	0
474	367	0	902	268	0
474	34	0	902	268	0
474	28	0	902	268	0
474	93	0	405	268	0
474	22	0	405	268	0
474	182	0	405	268	0
474	28	0	405	268	0
474	22	0	405	268	0
474	289	0	902	268	0
474	428	0	902	268	0
474	440	0	902	268	0
474	408	0	902	268	0
474	339	0	902	268	0
474	282	0	902	268	0
474	115	0	902	268	0
474	266	0	902	268	0
474	363	0	902	268	0
474	399	0	902	268	0
474	351	0	902	268	0
474	67	0	902	268	0
474	234	0	902	268	0
474	70	0	902	268	0
0	0	0	902	268	0
0	0	0	902	268	0
474	0	0	902	268	0
474	0	0	902	268	0
474	0	0	902	268	0
0	0	0	902	268	0
0	0	0	902	268	0
474	0	0	902	268	0
474	0	0	902	268	0
474	407	0	902	268	0
474	62	0	902	268	0
474	164	0	902	268	0
474	381	0	902	268	0
474	449	0	902	268	0
474	411	0	902	268	0
474	141	0	902	268	0
474	408	0	902	268	0
474	235	0	902	268	0
474	335	0	902	268	0
474	339	0	902	268	0
474	413	0	902	268	0
474	322	0	902	268	0
474	398	0	902	268	0
474	445	0	902	268	0
474	184	0	902	268	0
474	337	0	902	268	0
474	386	0	902	268	0
474	30	0	902	268	0
