Plcd	Pcpu	Pwifi	Pdata	Pgps	type
0	438	404	0	17	0
0	497	404	0	17	0
0	339	404	0	17	0
0	7	34	0	17	0
0	50	34	0	7	0
0	64	34	0	0	0
0	108	34	0	0	0
0	21	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	7	34	0	0	0
0	2	34	0	0	0
0	0	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	49	34	0	0	0
0	0	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	11	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	77	34	0	0	0
0	0	34	0	0	0
0	3	34	0	0	0
0	3	34	0	0	0
0	2	34	0	0	0
0	44	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	4	34	0	0	0
0	44	34	0	0	0
0	2	34	0	0	0
0	3	34	0	0	0
0	66	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	10	34	0	0	0
0	1	34	0	0	0
0	21	34	0	0	0
0	0	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	3	34	0	0	0
0	3	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	3	34	0	0	0
0	38	34	0	0	0
0	1	34	0	0	0
0	6	34	0	0	0
0	3	34	0	0	0
0	1	34	0	0	0
0	0	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	3	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	5	34	0	0	0
0	1	34	0	0	0
0	0	34	0	0	0
0	0	34	0	0	0
0	3	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	4	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	11	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	3	34	0	0	0
0	0	34	0	0	0
0	1	34	0	0	0
0	33	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	3	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	3	34	0	0	0
0	2	34	0	0	0
0	3	34	0	0	0
0	3	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	3	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	3	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	63	34	0	0	0
0	2	34	0	0	0
0	3	34	0	0	0
0	5	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	4	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	10	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	3	34	0	0	0
0	2	34	0	0	0
0	0	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	4	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	0	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	3	34	0	0	0
0	1	34	0	0	0
0	44	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	0	34	0	0	0
