Plcd	Pcpu	Pwifi	Pdata	Pgps	type
474	392	404	0	0	0
474	397	404	0	184	0
474	428	404	0	268	0
474	473	404	0	268	0
474	385	404	0	268	0
474	466	404	0	268	0
474	37	34	0	268	0
474	175	34	0	268	0
474	23	34	0	268	0
474	289	34	0	268	0
474	412	404	0	268	0
474	409	34	0	268	0
474	136	34	0	268	0
474	337	34	0	268	0
474	381	34	0	268	0
474	347	34	0	268	0
474	384	404	0	268	0
474	380	34	0	268	0
0	0	404	0	268	0
474	418	34	0	268	0
474	395	34	0	268	0
474	421	404	0	268	0
474	431	34	0	268	0
474	80	34	0	268	0
474	83	34	0	268	0
474	56	34	0	268	0
474	441	404	0	268	0
474	44	34	0	268	0
474	351	34	0	268	0
474	18	34	0	268	0
474	35	34	0	268	0
474	169	34	0	268	0
474	458	404	0	268	0
474	473	404	0	268	0
474	186	34	0	268	0
474	30	34	0	268	0
474	254	34	0	268	0
474	383	404	0	268	0
474	60	34	0	268	0
474	396	404	0	268	0
474	387	404	0	268	0
474	434	34	0	268	0
474	55	34	0	268	0
474	320	34	0	268	0
474	458	404	0	268	0
474	361	34	0	268	0
474	427	404	0	268	0
474	449	404	0	268	0
474	412	34	0	268	0
474	370	404	0	268	0
474	356	34	0	268	0
474	430	404	0	268	0
474	23	34	0	268	0
474	241	34	0	268	0
474	396	404	0	268	0
474	54	404	0	268	0
474	317	404	0	268	0
474	260	404	0	268	0
474	126	404	0	268	0
474	26	34	0	268	0
474	32	34	0	268	0
474	414	404	0	268	0
474	428	34	0	268	0
474	405	404	0	268	0
474	86	34	0	268	0
474	104	34	0	268	0
474	137	34	0	268	0
474	30	34	0	268	0
474	62	34	0	268	0
474	132	404	0	268	0
474	34	34	0	268	0
474	276	34	0	268	0
474	379	404	0	268	0
474	413	404	0	268	0
474	166	404	0	268	0
474	21	34	0	268	0
474	337	404	0	268	0
474	467	404	0	268	0
474	447	34	0	268	0
0	449	404	0	268	0
474	507	404	0	268	0
474	491	34	0	268	0
474	405	34	0	268	0
474	34	34	0	268	0
474	20	34	0	268	0
474	51	34	0	268	0
474	29	34	0	268	0
474	19	34	0	268	0
474	25	34	0	268	0
474	381	34	0	268	0
474	426	404	0	268	0
474	314	34	0	268	0
474	320	34	0	268	0
474	335	34	0	268	0
474	421	404	0	268	0
474	417	34	0	268	0
474	407	34	0	268	0
474	395	34	0	268	0
474	382	34	0	268	0
474	276	34	0	268	0
474	12	34	0	268	0
474	433	404	0	268	0
474	36	34	0	268	0
474	32	34	0	268	0
474	158	34	0	268	0
474	161	34	0	268	0
474	27	34	0	268	0
474	105	34	0	268	0
474	42	34	0	268	0
474	343	404	0	268	0
474	328	404	0	268	0
474	111	404	0	268	0
474	29	34	0	268	0
474	27	34	0	268	0
474	25	34	0	268	0
474	177	34	0	268	0
474	28	34	0	268	0
474	26	34	0	268	0
0	0	404	0	268	0
474	443	404	0	268	0
474	427	404	0	268	0
474	475	404	0	268	0
474	220	34	0	268	0
474	164	34	0	268	0
474	243	34	0	268	0
474	265	34	0	268	0
474	389	34	0	268	0
474	370	404	0	268	0
474	442	404	0	268	0
474	411	34	0	268	0
474	448	404	0	268	0
474	448	404	0	268	0
474	437	34	0	268	0
474	461	34	0	268	0
474	441	34	0	268	0
474	486	34	0	268	0
474	478	404	0	268	0
474	478	404	0	268	0
474	479	404	0	268	0
474	415	34	0	268	0
474	459	404	0	268	0
474	442	34	0	268	0
474	411	34	0	268	0
474	34	34	0	268	0
474	116	34	0	268	0
474	27	34	0	268	0
474	148	34	0	268	0
474	389	34	0	268	0
474	400	34	0	268	0
474	234	34	0	268	0
474	194	34	0	268	0
474	21	34	0	268	0
474	104	34	0	268	0
474	82	34	0	268	0
474	312	34	0	268	0
474	38	34	0	268	0
474	20	34	0	268	0
474	12	34	0	268	0
474	19	34	0	268	0
474	149	34	0	268	0
474	62	34	0	268	0
474	29	34	0	268	0
474	365	404	0	268	0
474	263	34	0	268	0
474	169	34	0	268	0
474	105	34	0	268	0
474	316	34	0	268	0
474	314	34	0	268	0
474	36	34	0	268	0
474	19	34	0	268	0
474	191	34	0	268	0
474	20	34	0	268	0
474	27	34	0	268	0
474	348	34	0	268	0
474	35	34	0	268	0
474	246	34	0	268	0
474	20	34	0	268	0
474	71	34	0	268	0
474	25	34	0	268	0
474	27	34	0	268	0
474	181	404	0	268	0
474	47	404	0	268	0
474	23	34	0	268	0
474	77	34	0	268	0
474	39	34	0	268	0
474	33	34	0	268	0
474	21	34	0	268	0
474	298	34	0	268	0
474	43	34	0	268	0
474	219	34	0	268	0
474	177	34	0	268	0
474	274	34	0	268	0
474	267	34	0	268	0
474	132	34	0	268	0
474	312	404	0	268	0
474	396	404	0	268	0
474	393	404	0	268	0
474	52	34	0	268	0
474	241	34	0	268	0
474	123	34	0	268	0
474	284	34	0	268	0
474	413	404	0	268	0
474	444	404	0	268	0
474	418	404	0	268	0
474	445	404	0	268	0
474	431	404	0	268	0
474	456	404	0	268	0
474	447	34	0	268	0
474	252	34	0	268	0
474	24	34	0	268	0
474	54	34	0	268	0
474	47	34	0	268	0
474	302	0	0	268	0
474	449	0	0	268	0
474	430	404	0	268	0
474	87	404	0	268	0
474	470	404	0	268	0
474	451	404	0	268	0
474	453	34	0	268	0
474	379	404	0	268	0
474	431	404	0	268	0
474	271	34	0	268	0
474	22	34	0	268	0
474	33	34	0	268	0
474	109	34	0	268	0
474	254	34	0	268	0
474	325	34	0	268	0
474	180	34	0	268	0
474	279	34	0	268	0
474	411	404	0	268	0
474	455	404	0	268	0
474	325	34	0	268	0
474	378	34	0	268	0
474	442	34	0	268	0
474	435	34	0	268	0
474	404	404	0	268	0
474	178	34	0	268	0
474	142	34	0	268	0
474	22	34	0	268	0
474	139	34	0	268	0
474	177	34	0	268	0
474	124	34	0	268	0
474	276	404	0	268	0
474	405	34	0	268	0
474	416	34	0	268	0
474	193	34	0	268	0
474	29	34	0	268	0
474	87	34	0	268	0
474	33	34	0	268	0
474	129	34	0	268	0
474	452	34	0	268	0
474	411	404	0	268	0
474	424	404	0	268	0
474	379	34	0	268	0
474	335	34	0	268	0
474	0	404	0	268	0
474	0	404	0	268	0
474	453	404	0	268	0
474	428	404	0	268	0
474	404	404	0	268	0
474	432	404	0	268	0
474	444	34	0	268	0
474	413	34	0	268	0
474	374	404	0	268	0
474	452	34	0	268	0
474	405	34	0	268	0
474	49	34	0	268	0
474	138	34	0	268	0
474	26	34	0	268	0
474	255	34	0	268	0
474	390	34	0	268	0
474	401	404	0	268	0
474	345	404	0	268	0
474	425	404	0	268	0
474	424	34	0	268	0
474	60	34	0	268	0
474	46	34	0	268	0
474	31	34	0	268	0
474	132	34	0	268	0
474	325	34	0	268	0
474	452	34	0	268	0
474	439	404	0	268	0
474	419	34	0	268	0
474	251	34	0	268	0
474	282	34	0	268	0
0	0	34	0	268	0
0	0	404	0	268	0
474	439	404	0	268	0
474	69	34	0	268	0
474	20	34	0	268	0
474	332	34	0	268	0
474	417	34	0	268	0
474	76	34	0	268	0
474	276	34	0	268	0
474	286	404	0	268	0
474	295	34	0	268	0
474	454	404	0	268	0
474	409	34	0	268	0
474	465	404	0	268	0
474	330	34	0	268	0
474	419	404	0	268	0
474	431	404	0	268	0
474	449	34	0	268	0
474	464	404	0	268	0
474	493	34	0	268	0
474	46	34	0	268	0
474	43	34	0	268	0
474	30	34	0	268	0
474	23	34	0	268	0
474	17	34	0	268	0
474	149	34	0	268	0
474	135	34	0	268	0
474	138	34	0	268	0
474	104	34	0	268	0
474	389	34	0	268	0
474	134	34	0	268	0
474	46	34	0	268	0
474	126	34	0	268	0
474	39	34	0	268	0
474	29	34	0	268	0
474	33	34	0	268	0
474	118	34	0	268	0
474	20	34	0	268	0
474	47	34	0	268	0
474	24	34	0	268	0
474	57	34	0	268	0
474	43	34	0	268	0
474	70	34	0	268	0
474	20	34	0	268	0
474	177	34	0	268	0
474	30	34	0	268	0
474	225	34	0	268	0
474	287	34	0	268	0
474	25	34	0	268	0
474	34	34	0	268	0
474	279	34	0	268	0
474	429	404	0	268	0
474	459	34	0	268	0
474	468	405	0	268	0
474	472	34	0	268	0
474	51	34	0	268	0
474	141	34	0	268	0
474	35	34	0	268	0
474	18	34	0	268	0
474	28	34	0	268	0
474	115	34	0	268	0
474	36	34	0	268	0
474	149	34	0	268	0
474	24	34	0	268	0
474	132	34	0	268	0
474	155	34	0	268	0
474	182	34	0	268	0
474	119	34	0	268	0
474	131	34	0	268	0
474	24	34	0	268	0
474	117	34	0	268	0
474	28	34	0	268	0
474	268	34	0	268	0
474	210	34	0	268	0
474	349	404	0	268	0
474	441	404	0	268	0
474	422	404	0	268	0
474	438	404	0	268	0
474	461	404	0	268	0
474	451	404	0	268	0
474	471	404	0	268	0
474	417	404	0	268	0
474	405	34	0	268	0
474	361	404	0	268	0
474	75	34	0	268	0
474	23	34	0	268	0
474	375	34	0	268	0
474	402	34	0	268	0
474	450	34	0	268	0
474	394	34	0	268	0
474	59	34	0	268	0
474	301	34	0	268	0
474	439	404	0	268	0
474	358	34	0	268	0
474	284	34	0	268	0
474	367	34	0	268	0
474	0	404	0	268	0
474	0	34	0	268	0
474	77	34	0	268	0
474	221	34	0	268	0
474	443	404	0	268	0
474	428	404	0	268	0
474	467	34	0	268	0
474	474	404	0	268	0
474	55	34	0	268	0
474	32	34	0	268	0
474	33	34	0	268	0
474	382	404	0	268	0
474	467	404	0	268	0
474	465	34	0	268	0
474	412	404	0	268	0
474	429	34	0	268	0
474	416	34	0	268	0
474	453	34	0	268	0
474	469	404	0	268	0
474	30	34	0	268	0
474	282	34	0	268	0
474	367	34	0	268	0
474	41	34	0	268	0
474	318	34	0	268	0
474	342	34	0	268	0
474	391	404	0	268	0
474	370	34	0	268	0
474	461	34	0	268	0
474	320	34	0	268	0
474	436	34	0	268	0
474	248	34	0	268	0
