Plcd	Pcpu	Pwifi	Pdata	Pgps	type
474	361	0	902	0	0
474	417	0	902	0	0
474	73	0	902	0	0
474	9	0	902	0	0
474	368	0	902	0	0
474	100	0	902	0	0
474	286	0	902	0	0
474	138	0	902	0	0
474	115	0	902	0	0
474	7	0	902	0	0
474	130	0	902	0	0
474	25	0	902	0	0
474	64	0	902	0	0
474	13	0	902	0	0
474	175	0	902	0	0
474	137	0	902	0	0
474	25	0	902	0	0
474	11	0	902	0	0
474	18	0	902	0	0
474	10	0	902	0	0
474	5	0	902	0	0
474	96	0	902	0	0
474	71	0	902	0	0
474	75	0	902	0	0
474	126	0	902	0	0
474	21	0	902	0	0
474	118	0	902	0	0
474	94	0	902	0	0
474	182	0	902	0	0
474	29	0	902	0	0
474	129	0	902	0	0
474	103	0	902	0	0
474	33	0	902	0	0
474	83	0	902	0	0
474	28	0	902	0	0
474	150	0	902	0	0
474	6	0	902	0	0
474	23	0	902	0	0
474	15	0	902	0	0
474	14	0	902	0	0
474	25	0	902	0	0
474	13	0	902	0	0
474	26	0	902	0	0
474	28	0	902	0	0
474	28	0	902	0	0
474	65	0	902	0	0
474	5	0	902	0	0
474	9	0	902	0	0
474	49	0	902	0	0
474	27	0	902	0	0
474	15	0	902	0	0
474	5	0	902	0	0
474	11	0	902	0	0
474	20	0	902	0	0
474	94	0	902	0	0
474	27	0	902	0	0
474	25	0	902	0	0
474	229	0	902	0	0
474	18	0	902	0	0
474	65	0	902	0	0
474	18	0	902	0	0
474	9	0	902	0	0
474	11	0	902	0	0
474	49	0	902	0	0
474	14	0	902	0	0
474	6	0	902	0	0
474	9	0	902	0	0
474	14	0	902	0	0
474	5	0	902	0	0
474	173	0	902	0	0
474	39	0	902	0	0
474	31	0	902	0	0
474	14	0	902	0	0
474	12	0	902	0	0
474	13	0	902	0	0
474	51	0	902	0	0
474	83	0	902	0	0
474	15	0	902	0	0
474	3	0	902	0	0
474	5	0	902	0	0
474	6	0	902	0	0
474	28	0	902	0	0
474	146	0	902	0	0
474	12	0	902	0	0
474	22	0	902	0	0
474	20	0	902	0	0
474	16	0	902	0	0
474	14	0	902	0	0
474	28	0	902	0	0
474	83	0	902	0	0
474	15	0	902	0	0
474	131	0	902	0	0
474	133	0	902	0	0
474	24	0	902	0	0
474	135	0	902	0	0
474	73	0	902	0	0
474	17	0	902	0	0
474	18	0	902	0	0
474	8	0	902	0	0
474	160	0	902	0	0
474	8	0	902	0	0
474	21	0	902	0	0
474	9	0	902	0	0
474	9	0	902	0	0
474	4	0	902	0	0
474	7	0	902	0	0
474	7	0	902	0	0
474	15	0	902	0	0
474	83	0	902	0	0
474	29	0	902	0	0
474	113	0	902	0	0
474	3	0	902	0	0
474	156	0	902	0	0
474	124	0	902	0	0
474	27	0	902	0	0
474	55	0	902	0	0
474	5	0	902	0	0
474	126	0	902	0	0
