Plcd	Pcpu	Pwifi	Pdata	Pgps	type
0	63	34	0	15	0
0	18	34	0	268	0
0	11	34	0	268	0
0	10	34	0	268	0
0	199	34	405	268	0
0	24	34	902	268	0
0	82	34	902	268	0
0	231	34	0	268	0
0	65	34	0	268	0
0	5	34	0	268	0
0	4	34	0	268	0
0	13	34	0	268	0
0	43	34	0	268	0
0	17	34	0	268	0
0	6	34	0	268	0
0	12	34	0	268	0
0	7	34	0	268	0
0	5	34	0	268	0
0	60	34	0	268	0
0	3	34	0	268	0
0	11	34	0	268	0
0	20	404	0	268	0
0	6	34	0	268	0
0	18	34	0	268	0
0	4	34	0	268	0
0	6	34	0	268	0
0	7	34	0	268	0
0	4	34	0	268	0
0	60	34	0	268	0
0	10	34	0	268	0
0	13	34	0	268	0
0	6	34	0	268	0
0	5	34	0	268	0
0	4	34	0	268	0
0	3	34	0	268	0
0	10	34	0	268	0
0	5	34	0	268	0
0	6	34	0	268	0
0	4	34	0	268	0
0	7	34	0	268	0
0	24	34	0	268	0
0	15	34	0	268	0
0	3	34	0	268	0
0	4	34	0	268	0
0	8	34	0	268	0
0	16	34	0	268	0
0	6	34	0	268	0
0	7	34	0	268	0
0	21	34	0	268	0
0	6	34	0	268	0
0	14	34	0	268	0
0	5	34	0	268	0
0	5	34	0	268	0
0	5	34	0	268	0
0	3	34	0	268	0
0	18	34	0	268	0
0	3	34	0	268	0
0	7	34	0	268	0
0	4	34	0	268	0
0	4	34	0	268	0
0	15	34	0	268	0
0	9	34	0	268	0
0	3	34	0	268	0
0	6	34	0	268	0
0	3	34	0	268	0
0	15	34	0	268	0
0	3	34	0	268	0
0	7	34	0	268	0
0	6	34	0	268	0
0	6	34	0	268	0
0	13	34	0	268	0
0	3	34	0	268	0
0	6	34	0	268	0
0	6	34	0	268	0
0	4	34	0	268	0
0	17	34	0	268	0
0	5	34	0	268	0
0	71	34	0	268	0
0	5	34	0	268	0
0	4	34	0	268	0
0	19	34	0	268	0
0	7	34	0	268	0
0	6	34	0	268	0
0	71	34	0	268	0
0	2	34	0	268	0
0	7	34	0	268	0
0	4	34	0	268	0
0	10	34	0	268	0
0	65	34	0	268	0
0	6	34	0	268	0
0	5	34	0	268	0
0	2	34	0	268	0
0	37	34	0	268	0
0	77	34	0	268	0
0	3	34	0	268	0
0	9	34	0	268	0
0	6	34	0	268	0
0	4	34	0	268	0
0	66	34	0	268	0
0	3	34	0	268	0
0	4	34	0	268	0
0	2	34	0	268	0
0	5	34	0	268	0
0	13	34	0	268	0
0	6	34	0	268	0
0	2	34	0	268	0
0	4	34	0	268	0
0	4	34	0	268	0
0	60	34	0	268	0
0	3	34	0	268	0
0	4	34	0	268	0
0	5	34	0	268	0
0	6	34	0	268	0
0	16	34	0	268	0
0	5	34	0	268	0
0	5	34	0	268	0
0	5	34	0	268	0
0	5	34	0	268	0
0	65	34	0	268	0
0	3	34	0	268	0
0	55	34	0	241	0
0	211	34	0	17	0
0	2	34	0	17	0
0	4	34	0	17	0
0	4	34	0	17	0
0	49	34	0	17	0
0	10	34	0	8	0
0	227	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	25	34	0	0	0
0	0	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	55	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	6	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	0	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	3	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	0	34	0	0	0
0	1	34	0	0	0
0	0	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	3	34	0	0	0
0	3	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	27	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	3	34	0	0	0
0	8	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	0	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	4	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	0	34	0	0	0
0	1	34	0	0	0
0	3	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	0	34	0	0	0
0	4	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	3	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	0	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	4	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	11	34	0	0	0
0	5	34	0	0	0
0	2	34	0	0	0
0	3	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	4	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	0	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	3	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	3	34	0	0	0
0	4	34	0	0	0
0	0	34	0	0	0
0	0	34	0	0	0
0	3	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	37	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	63	34	0	0	0
0	0	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
