Plcd	Pcpu	Pwifi	Pdata	Pgps	type
474	93	34	0	0	0
474	7	34	0	0	0
474	130	34	0	0	0
474	400	34	0	0	0
474	101	34	0	0	0
474	387	34	0	0	0
474	98	34	0	0	0
474	71	34	0	0	0
474	93	34	0	0	0
474	13	34	0	0	0
474	49	404	0	0	0
474	30	34	0	0	0
474	22	34	0	0	0
474	11	34	0	0	0
474	10	34	0	0	0
474	49	34	0	0	0
474	29	34	0	0	0
474	12	34	0	0	0
474	6	34	0	0	0
474	2	34	0	0	0
474	12	34	0	0	0
474	9	34	0	0	0
474	11	34	0	0	0
474	7	34	0	0	0
474	30	34	0	0	0
474	10	34	0	0	0
474	131	34	0	0	0
474	26	34	0	0	0
474	161	34	0	0	0
474	78	34	0	0	0
474	198	34	0	0	0
474	33	404	0	0	0
474	19	34	0	0	0
474	17	34	0	0	0
474	3	34	0	0	0
474	39	404	0	0	0
474	9	34	0	0	0
474	16	34	0	0	0
474	12	34	0	0	0
474	123	34	0	0	0
474	20	34	0	0	0
474	156	34	0	0	0
474	30	34	0	0	0
474	51	404	0	0	0
474	11	34	0	0	0
474	15	34	0	0	0
474	48	34	0	0	0
474	137	404	0	0	0
474	29	34	0	0	0
474	60	34	0	0	0
474	10	34	0	0	0
474	18	34	0	0	0
474	145	34	0	0	0
474	28	34	0	0	0
474	55	34	0	0	0
474	110	34	0	0	0
474	25	34	0	0	0
474	34	34	0	0	0
474	35	34	0	0	0
474	11	34	0	0	0
474	61	34	0	0	0
474	37	34	0	0	0
474	182	34	0	0	0
474	128	404	0	0	0
474	102	34	0	0	0
474	26	34	0	0	0
474	33	34	0	0	0
474	227	404	0	0	0
474	185	34	0	0	0
474	57	404	0	0	0
474	10	34	0	0	0
474	13	34	0	0	0
474	5	34	0	0	0
474	31	404	0	0	0
474	12	34	0	0	0
474	103	34	0	0	0
474	33	34	0	0	0
474	26	34	0	0	0
474	134	34	0	0	0
474	19	34	0	0	0
474	27	34	0	0	0
474	42	34	0	0	0
474	15	34	0	0	0
