Plcd	Pcpu	Pwifi	Pdata	Pgps	type
474	375	0	405	0	0
474	368	0	902	0	0
474	365	0	902	0	0
474	356	0	902	0	0
474	312	0	902	0	0
474	354	0	902	0	0
474	302	0	902	0	0
474	398	0	902	0	0
474	516	0	902	0	0
474	199	0	902	0	0
474	436	0	902	0	0
474	462	0	902	0	0
474	462	0	902	0	0
474	333	0	902	0	0
474	345	0	902	0	0
474	382	0	902	0	0
474	315	0	902	0	0
474	367	0	902	0	0
474	370	0	902	0	0
474	374	0	902	0	0
474	372	0	902	0	0
474	352	0	902	0	0
474	427	0	902	0	0
474	473	0	902	0	0
474	383	0	902	0	0
474	348	0	902	0	0
474	367	0	902	0	0
474	344	0	902	0	0
474	346	0	902	0	0
474	351	0	902	0	0
474	288	0	902	0	0
474	347	0	902	0	0
474	305	0	902	0	0
474	401	0	405	0	0
474	317	0	405	0	0
474	383	0	405	0	0
474	379	0	405	0	0
474	491	0	405	0	0
474	478	0	405	0	0
474	473	0	405	0	0
474	465	0	405	0	0
474	418	0	405	0	0
474	99	0	405	0	0
474	203	0	405	0	0
474	514	0	405	0	0
474	479	0	10	0	0
474	0	0	10	0	0
474	0	0	10	0	0
474	477	0	10	0	0
474	455	0	10	0	0
474	457	0	10	0	0
474	393	0	10	0	0
474	429	0	10	0	0
474	412	0	10	0	0
474	425	0	10	0	0
474	405	0	10	0	0
474	383	0	10	0	0
474	381	0	10	0	0
474	369	0	10	0	0
474	417	0	10	0	0
474	432	0	10	0	0
474	420	0	10	0	0
474	408	0	10	0	0
474	404	0	10	0	0
474	409	0	10	0	0
474	412	0	405	0	0
474	400	0	405	0	0
474	383	0	405	0	0
474	409	0	405	0	0
474	397	0	902	0	0
474	400	0	902	0	0
474	363	0	902	0	0
474	413	0	902	0	0
474	403	0	902	0	0
474	380	0	902	0	0
474	418	0	902	0	0
474	413	0	902	0	0
474	388	0	902	0	0
474	408	0	902	0	0
474	425	0	405	0	0
474	421	0	405	0	0
474	427	0	405	0	0
474	370	0	405	0	0
474	411	0	405	0	0
474	399	0	405	0	0
474	387	0	405	0	0
474	414	0	405	0	0
474	417	0	405	0	0
474	429	0	405	0	0
474	326	0	405	0	0
474	394	0	405	0	0
474	389	0	10	0	0
474	401	0	10	0	0
474	352	0	10	0	0
474	399	0	10	0	0
474	381	0	10	0	0
474	398	0	10	0	0
474	411	0	10	0	0
474	428	0	10	0	0
474	414	0	10	0	0
474	389	0	10	0	0
474	374	0	10	0	0
474	378	0	10	0	0
474	431	0	10	0	0
474	390	0	10	0	0
474	381	0	10	0	0
474	358	0	10	0	0
474	384	0	10	0	0
474	375	0	10	0	0
474	414	0	10	0	0
474	328	0	10	0	0
474	397	0	10	0	0
474	337	0	10	0	0
474	366	0	10	0	0
474	330	0	10	0	0
474	338	0	10	0	0
474	351	0	10	0	0
474	293	0	10	0	0
474	302	0	10	0	0
474	304	0	10	0	0
474	257	0	10	0	0
474	310	0	10	0	0
474	268	0	10	0	0
474	252	0	10	0	0
474	282	0	10	0	0
474	309	0	10	0	0
474	318	0	405	0	0
474	263	0	902	0	0
474	327	0	902	0	0
474	345	0	902	0	0
474	309	0	902	0	0
474	346	0	902	0	0
474	209	0	902	0	0
474	375	0	902	0	0
474	394	0	405	0	0
474	305	0	405	0	0
474	323	0	405	0	0
474	378	0	405	0	0
474	363	0	405	0	0
474	331	0	405	0	0
474	384	0	405	0	0
474	400	0	405	0	0
474	385	0	405	0	0
474	438	0	405	0	0
474	353	0	405	0	0
474	359	0	405	0	0
474	277	0	10	0	0
474	317	0	10	0	0
474	334	0	10	0	0
474	336	0	10	0	0
474	356	0	10	0	0
474	324	0	10	0	0
474	356	0	10	0	0
474	371	0	10	0	0
474	165	0	10	0	0
474	215	0	10	0	0
474	442	0	10	0	0
474	419	0	10	0	0
474	433	0	10	0	0
474	429	0	10	0	0
474	429	0	10	0	0
474	424	0	10	0	0
474	422	0	10	0	0
474	417	0	10	0	0
474	459	0	10	0	0
474	408	0	10	0	0
474	413	0	10	0	0
474	397	0	10	0	0
474	0	0	10	0	0
474	0	0	10	0	0
0	0	0	10	0	0
0	0	0	10	0	0
474	457	0	10	0	0
474	415	0	10	0	0
474	388	0	10	0	0
474	476	0	10	0	0
474	408	0	10	0	0
474	460	0	10	0	0
474	433	0	10	0	0
474	455	0	10	0	0
474	421	0	10	0	0
474	442	0	10	0	0
474	422	0	10	0	0
474	462	0	10	0	0
474	434	0	10	0	0
474	458	0	10	0	0
474	418	0	10	0	0
474	423	0	10	0	0
474	335	0	10	0	0
474	406	0	10	0	0
474	337	0	10	0	0
474	412	0	10	0	0
474	470	0	10	0	0
474	420	0	10	0	0
474	384	0	10	0	0
474	324	0	10	0	0
474	334	0	10	0	0
474	344	0	10	0	0
474	401	0	10	0	0
474	378	0	10	0	0
474	377	0	10	0	0
474	433	0	10	0	0
474	445	0	10	0	0
474	431	0	10	0	0
474	426	0	10	0	0
474	469	0	10	0	0
474	409	0	10	0	0
474	437	0	10	0	0
474	365	0	10	0	0
474	436	0	10	0	0
474	378	0	10	0	0
474	392	0	10	0	0
474	378	0	10	0	0
474	384	0	10	0	0
474	391	0	10	0	0
474	425	0	10	0	0
474	416	0	10	0	0
474	452	0	10	0	0
474	379	0	10	0	0
474	409	0	10	0	0
474	354	0	10	0	0
474	407	0	10	0	0
474	361	0	10	0	0
474	322	0	10	0	0
474	397	0	10	0	0
474	360	0	10	0	0
474	401	0	10	0	0
474	409	0	10	0	0
474	421	0	10	0	0
474	369	0	10	0	0
474	352	0	10	0	0
474	386	0	10	0	0
474	412	0	10	0	0
474	356	0	10	0	0
474	325	0	10	0	0
474	326	0	10	0	0
474	317	0	10	0	0
474	397	0	10	0	0
474	384	0	10	0	0
474	396	0	10	0	0
474	400	0	10	0	0
474	425	0	10	0	0
474	376	0	405	0	0
474	426	0	902	0	0
474	374	0	902	0	0
474	344	0	902	0	0
474	367	0	902	0	0
474	415	0	902	0	0
474	361	0	405	0	0
474	338	0	405	0	0
474	355	0	405	0	0
474	400	0	405	0	0
474	352	0	405	0	0
474	339	0	405	0	0
474	374	0	405	0	0
474	340	0	405	0	0
474	370	0	405	0	0
474	367	0	405	0	0
474	356	0	405	0	0
474	369	0	405	0	0
474	338	0	10	0	0
474	404	0	10	0	0
474	412	0	10	0	0
474	372	0	10	0	0
474	377	0	10	0	0
474	375	0	10	0	0
474	396	0	10	0	0
474	411	0	10	0	0
474	332	0	10	0	0
474	363	0	10	0	0
474	379	0	10	0	0
474	384	0	10	0	0
474	352	0	10	0	0
474	380	0	10	0	0
474	336	0	10	0	0
474	376	0	10	0	0
474	367	0	10	0	0
474	307	0	10	0	0
474	400	0	10	0	0
474	378	0	10	0	0
474	337	0	10	0	0
474	343	0	10	0	0
474	333	0	10	0	0
474	389	0	10	0	0
474	394	0	10	0	0
474	450	0	10	0	0
474	383	0	10	0	0
474	433	0	10	0	0
474	451	0	10	0	0
474	412	0	10	0	0
474	434	0	10	0	0
474	425	0	10	0	0
474	395	0	10	0	0
474	465	0	10	0	0
474	380	0	10	0	0
474	382	0	10	0	0
474	392	0	10	0	0
474	312	0	10	0	0
474	327	0	10	0	0
474	325	0	10	0	0
474	331	0	10	0	0
474	372	0	10	0	0
474	335	0	10	0	0
474	330	0	10	0	0
474	378	0	405	0	0
474	365	0	902	0	0
474	338	0	902	0	0
474	354	0	902	0	0
474	357	0	902	0	0
474	376	0	902	0	0
474	352	0	405	0	0
474	330	0	405	0	0
474	303	0	405	0	0
474	336	0	405	0	0
474	382	0	405	0	0
474	301	0	405	0	0
474	375	0	405	0	0
474	301	0	405	0	0
474	320	0	405	0	0
474	336	0	405	0	0
474	323	0	405	0	0
474	365	0	405	0	0
474	367	0	10	0	0
474	321	0	10	0	0
474	282	0	10	0	0
474	304	0	10	0	0
474	290	0	10	0	0
474	352	0	10	0	0
474	326	0	10	0	0
474	343	0	10	0	0
474	328	0	10	0	0
474	330	0	10	0	0
474	341	0	10	0	0
474	301	0	10	0	0
474	304	0	10	0	0
474	298	0	10	0	0
474	310	0	10	0	0
474	325	0	10	0	0
474	365	0	10	0	0
474	326	0	10	0	0
474	322	0	10	0	0
474	276	0	10	0	0
474	290	0	10	0	0
474	310	0	10	0	0
474	320	0	10	0	0
474	324	0	10	0	0
474	325	0	10	0	0
474	328	0	10	0	0
474	299	0	10	0	0
474	341	0	10	0	0
474	285	0	10	0	0
474	325	0	10	0	0
474	326	0	10	0	0
474	354	0	10	0	0
474	390	0	10	0	0
474	332	0	10	0	0
474	335	0	10	0	0
474	310	0	10	0	0
474	400	0	10	0	0
474	404	0	10	0	0
474	361	0	10	0	0
474	397	0	10	0	0
474	368	0	10	0	0
474	388	0	10	0	0
474	371	0	10	0	0
474	449	0	10	0	0
474	395	0	10	0	0
474	345	0	10	0	0
474	382	0	10	0	0
474	321	0	10	0	0
474	329	0	405	0	0
474	402	0	405	0	0
474	360	0	405	0	0
474	408	0	405	0	0
474	378	0	405	0	0
474	341	0	405	0	0
474	361	0	405	0	0
474	330	0	405	0	0
474	344	0	405	0	0
474	363	0	405	0	0
