Plcd	Pcpu	Pwifi	Pdata	Pgps	type
0	292	34	0	0	0
0	107	34	0	0	0
0	4	34	0	0	0
0	2	34	0	0	0
0	0	34	0	0	0
0	7	34	0	0	0
0	1	34	0	0	0
0	3	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	9	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	3	34	0	0	0
0	1	34	0	0	0
0	7	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	3	34	0	0	0
0	9	34	0	0	0
0	3	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	3	34	0	0	0
0	1	34	0	0	0
0	3	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	5	34	0	0	0
0	5	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	3	34	0	0	0
0	2	34	0	0	0
0	7	34	0	0	0
0	4	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	0	34	0	0	0
0	10	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	3	34	0	0	0
0	9	34	0	0	0
0	10	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	63	34	0	0	0
0	3	34	0	0	0
0	7	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	3	34	0	0	0
0	5	34	0	0	0
0	9	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	15	34	0	0	0
0	2	34	0	0	0
0	3	34	0	0	0
0	0	34	0	0	0
0	1	34	0	0	0
0	17	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	11	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	31	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	3	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	0	34	0	0	0
0	0	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	3	34	0	0	0
0	2	34	0	0	0
0	0	34	0	0	0
0	0	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	16	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	0	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	7	34	0	0	0
0	0	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	3	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	4	34	0	0	0
0	13	404	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	3	34	0	0	0
0	0	34	0	0	0
0	2	34	0	0	0
0	0	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	4	34	0	0	0
0	0	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	3	34	0	0	0
0	1	34	0	0	0
0	0	34	0	0	0
0	1	34	0	0	0
0	16	34	0	0	0
0	2	34	0	0	0
0	0	34	0	0	0
0	2	34	0	0	0
0	3	34	0	0	0
0	0	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	16	34	0	0	0
0	3	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	0	34	0	0	0
0	5	34	0	0	0
0	3	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	55	34	0	0	0
0	0	34	0	0	0
0	36	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	16	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	3	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	11	34	0	0	0
0	15	34	0	0	0
0	0	34	0	0	0
0	2	34	0	0	0
0	3	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	3	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	3	34	0	0	0
0	0	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	0	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	22	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	5	34	0	0	0
0	2	34	0	0	0
0	0	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	2	34	0	0	0
0	1	34	0	0	0
0	1	34	0	0	0
0	0	34	0	0	0
0	34	34	0	0	0
0	1	34	0	0	0
