Plcd	Pcpu	Pwifi	Pdata	Pgps	type
474	497	34	0	0	0
474	271	34	0	0	0
474	148	404	0	0	0
474	419	34	0	0	0
474	439	34	0	0	0
474	336	34	0	0	0
474	261	34	0	0	0
474	211	34	0	0	0
474	454	34	0	0	0
474	434	34	0	0	0
474	341	34	0	0	0
474	404	34	0	0	0
474	463	34	0	0	0
474	276	34	0	0	0
474	293	34	0	0	0
474	468	34	0	0	0
474	442	34	0	0	0
474	0	34	0	0	0
474	0	34	0	0	0
474	291	34	0	0	0
474	167	34	0	0	0
474	302	34	0	0	0
474	484	34	0	0	0
474	462	34	0	0	0
474	409	34	0	0	0
474	445	34	0	0	0
474	409	34	0	0	0
474	437	34	0	0	0
474	405	34	0	0	0
474	447	34	0	0	0
474	445	34	0	0	0
474	438	34	0	0	0
474	419	34	0	0	0
474	433	34	0	0	0
474	427	34	0	0	0
474	411	34	0	0	0
474	436	34	0	0	0
474	390	34	0	0	0
474	371	34	0	0	0
474	385	34	0	0	0
474	406	34	0	0	0
474	431	34	0	0	0
474	376	34	0	0	0
474	372	34	0	0	0
474	369	34	0	0	0
474	401	34	0	0	0
474	438	34	0	0	0
474	376	34	0	0	0
474	354	34	0	0	0
474	372	34	0	0	0
474	385	34	0	0	0
474	411	34	0	0	0
474	415	34	0	0	0
474	401	34	0	0	0
474	427	34	0	0	0
474	412	34	0	0	0
474	437	34	0	0	0
474	444	34	0	0	0
0	0	0	0	0	0
474	403	34	0	0	0
474	395	34	0	0	0
474	417	34	0	0	0
474	393	34	0	0	0
474	447	34	0	0	0
474	433	34	0	0	0
474	395	34	0	0	0
474	421	34	0	0	0
474	429	34	0	0	0
474	428	34	0	0	0
474	389	34	0	0	0
474	372	34	0	0	0
474	409	34	0	0	0
474	367	34	0	0	0
474	453	34	0	0	0
474	363	34	0	0	0
474	363	34	0	0	0
474	408	34	0	0	0
474	396	34	0	0	0
474	0	34	0	0	0
474	0	34	0	0	0
474	387	34	0	0	0
474	448	34	0	0	0
474	0	34	0	0	0
474	0	34	0	0	0
474	426	34	0	0	0
474	477	34	0	0	0
474	428	34	0	0	0
474	0	34	0	0	0
474	0	34	0	0	0
474	451	34	0	0	0
474	386	34	0	0	0
474	431	34	0	0	0
474	446	404	0	0	0
474	425	34	0	0	0
474	0	34	0	0	0
474	0	34	0	0	0
474	422	34	0	0	0
474	423	34	0	0	0
474	0	34	0	0	0
474	0	34	0	0	0
474	419	34	0	0	0
474	390	34	0	0	0
474	397	34	0	0	0
474	426	34	0	0	0
474	435	34	0	0	0
474	425	34	0	0	0
474	406	34	0	0	0
474	444	34	0	0	0
474	416	34	0	0	0
474	427	34	0	0	0
474	434	34	0	0	0
474	399	34	0	0	0
474	354	34	0	0	0
474	370	34	0	0	0
474	338	34	0	0	0
474	390	34	0	0	0
474	305	34	0	0	0
474	377	404	0	0	0
474	434	34	0	0	0
474	356	34	0	0	0
474	342	34	0	0	0
474	339	34	0	0	0
474	368	34	0	0	0
474	371	34	0	0	0
474	401	34	0	0	0
474	363	34	0	0	0
474	381	34	0	0	0
474	341	34	0	0	0
474	421	34	0	0	0
474	328	34	0	0	0
474	343	34	0	0	0
474	431	34	0	0	0
474	397	34	0	0	0
474	365	34	0	0	0
474	367	34	0	0	0
474	361	34	0	0	0
474	331	34	0	0	0
474	409	34	0	0	0
474	341	34	0	0	0
474	412	34	0	0	0
474	409	34	0	0	0
474	425	34	0	0	0
474	470	34	0	0	0
474	421	34	0	0	0
474	445	34	0	0	0
474	429	34	0	0	0
474	373	34	0	0	0
474	331	34	0	0	0
474	279	34	0	0	0
474	352	34	0	0	0
474	358	34	0	0	0
474	347	34	0	0	0
474	314	34	0	0	0
474	311	34	0	0	0
474	315	34	0	0	0
474	306	34	0	0	0
474	327	34	0	0	0
474	360	34	0	0	0
474	350	34	0	0	0
474	345	34	0	0	0
474	349	34	0	0	0
474	374	34	0	0	0
474	412	34	0	0	0
474	341	34	0	0	0
474	361	34	0	0	0
474	367	34	0	0	0
474	372	34	0	0	0
474	407	34	0	0	0
474	412	34	0	0	0
474	426	34	0	0	0
474	379	34	0	0	0
474	365	34	0	0	0
474	337	34	0	0	0
474	417	34	0	0	0
474	399	34	0	0	0
474	379	34	0	0	0
474	347	34	0	0	0
474	383	34	0	0	0
474	351	34	0	0	0
474	403	34	0	0	0
474	349	34	0	0	0
474	360	34	0	0	0
474	352	34	0	0	0
474	439	34	0	0	0
474	363	34	0	0	0
474	333	34	0	0	0
474	365	34	0	0	0
474	356	34	0	0	0
474	422	34	0	0	0
474	363	34	0	0	0
474	357	34	0	0	0
474	365	34	0	0	0
474	376	34	0	0	0
474	416	34	0	0	0
474	360	34	0	0	0
474	376	34	0	0	0
474	403	34	0	0	0
474	387	34	0	0	0
474	411	34	0	0	0
474	398	34	0	0	0
474	363	34	0	0	0
474	341	34	0	0	0
474	351	34	0	0	0
474	334	34	0	0	0
474	309	34	0	0	0
474	326	34	0	0	0
474	360	34	0	0	0
474	384	34	0	0	0
474	339	34	0	0	0
474	405	34	0	0	0
474	395	34	0	0	0
474	430	34	0	0	0
474	389	34	0	0	0
474	401	34	0	0	0
474	378	34	0	0	0
474	363	34	0	0	0
474	365	34	0	0	0
474	331	34	0	0	0
474	320	34	0	0	0
474	336	34	0	0	0
474	369	34	0	0	0
474	347	34	0	0	0
474	432	34	0	0	0
474	432	34	0	0	0
474	478	34	0	0	0
474	495	34	0	0	0
474	288	34	0	0	0
474	339	34	0	0	0
474	359	34	0	0	0
474	417	34	0	0	0
474	370	34	0	0	0
474	460	34	0	0	0
474	401	34	0	0	0
474	385	404	0	0	0
474	398	34	0	0	0
474	414	34	0	0	0
474	241	34	0	0	0
474	370	34	0	0	0
474	363	34	0	0	0
474	376	34	0	0	0
474	323	34	0	0	0
474	346	34	0	0	0
474	350	34	0	0	0
474	376	34	0	0	0
474	374	34	0	0	0
474	356	34	0	0	0
474	358	34	0	0	0
474	365	34	0	0	0
474	371	34	0	0	0
474	376	34	0	0	0
474	340	34	0	0	0
474	351	34	0	0	0
474	357	34	0	0	0
474	296	34	0	0	0
474	356	34	0	0	0
474	409	404	0	0	0
474	406	34	0	0	0
474	400	34	0	0	0
474	399	34	0	0	0
474	358	34	0	0	0
474	382	34	0	0	0
474	431	34	0	0	0
474	361	34	0	0	0
474	314	34	0	0	0
474	342	34	0	0	0
474	341	34	0	0	0
474	340	34	0	0	0
474	336	34	0	0	0
474	369	34	0	0	0
474	337	34	0	0	0
474	331	34	0	0	0
474	300	34	0	0	0
474	282	34	0	0	0
474	356	34	0	0	0
474	360	34	0	0	0
474	365	34	0	0	0
474	337	34	0	0	0
474	393	34	0	0	0
474	315	34	0	0	0
474	411	34	0	0	0
474	426	34	0	0	0
474	445	34	0	0	0
474	417	34	0	0	0
474	361	34	0	0	0
474	338	34	0	0	0
474	319	34	0	0	0
474	358	34	0	0	0
474	355	34	0	0	0
474	451	34	0	0	0
474	398	34	0	0	0
474	422	34	0	0	0
474	412	34	0	0	0
474	426	34	0	0	0
474	365	34	0	0	0
474	365	34	0	0	0
474	356	34	0	0	0
474	327	34	0	0	0
474	349	34	0	0	0
474	328	34	0	0	0
474	354	34	0	0	0
474	299	34	0	0	0
474	394	34	0	0	0
474	412	34	0	0	0
474	397	34	0	0	0
474	415	34	0	0	0
474	384	34	0	0	0
474	417	34	0	0	0
474	394	34	0	0	0
474	418	34	0	0	0
474	419	34	0	0	0
474	387	34	0	0	0
474	395	34	0	0	0
474	355	34	0	0	0
474	403	34	0	0	0
474	361	34	0	0	0
474	374	34	0	0	0
474	379	34	0	0	0
474	242	34	0	0	0
474	322	34	0	0	0
474	309	34	0	0	0
474	345	34	0	0	0
474	336	34	0	0	0
474	370	34	0	0	0
474	341	34	0	0	0
474	350	34	0	0	0
474	379	34	0	0	0
474	369	34	0	0	0
474	324	34	0	0	0
474	310	34	0	0	0
474	353	34	0	0	0
474	396	34	0	0	0
474	360	34	0	0	0
474	363	34	0	0	0
474	398	34	0	0	0
474	374	34	0	0	0
474	446	34	0	0	0
474	382	34	0	0	0
474	369	34	0	0	0
474	294	34	0	0	0
474	379	34	0	0	0
474	344	34	0	0	0
474	354	34	0	0	0
474	426	34	0	0	0
474	412	34	0	0	0
474	445	34	0	0	0
474	381	34	0	0	0
474	398	34	0	0	0
474	383	34	0	0	0
474	361	34	0	0	0
474	385	34	0	0	0
474	332	34	0	0	0
474	412	34	0	0	0
474	424	34	0	0	0
474	408	34	0	0	0
474	395	34	0	0	0
474	493	34	0	0	0
474	438	34	0	0	0
474	400	34	0	0	0
474	465	34	0	0	0
474	415	34	0	0	0
474	406	34	0	0	0
474	390	34	0	0	0
474	443	34	0	0	0
474	440	34	0	0	0
474	437	34	0	0	0
474	458	34	0	0	0
474	402	34	0	0	0
474	344	34	0	0	0
474	349	34	0	0	0
474	403	34	0	0	0
474	418	34	0	0	0
474	420	34	0	0	0
474	405	34	0	0	0
474	414	34	0	0	0
474	398	34	0	0	0
474	424	34	0	0	0
474	405	404	0	0	0
474	367	34	0	0	0
474	316	34	0	0	0
474	391	34	0	0	0
474	386	34	0	0	0
474	454	34	0	0	0
0	0	34	0	0	0
0	0	34	0	0	0
474	336	34	0	0	0
474	354	34	0	0	0
474	441	34	0	0	0
474	455	34	0	0	0
474	405	34	0	0	0
474	438	34	0	0	0
474	436	34	0	0	0
474	468	34	0	0	0
474	342	34	0	0	0
474	312	34	0	0	0
474	310	34	0	0	0
474	353	34	0	0	0
474	325	34	0	0	0
474	404	34	0	0	0
474	409	34	0	0	0
474	418	34	0	0	0
474	444	34	0	0	0
474	344	34	0	0	0
474	328	34	0	0	0
474	383	34	0	0	0
474	343	34	0	0	0
474	354	34	0	0	0
474	405	34	0	0	0
474	362	34	0	0	0
474	330	34	0	0	0
474	325	34	0	0	0
474	346	34	0	0	0
474	356	34	0	0	0
474	365	404	0	0	0
474	365	34	0	0	0
474	414	34	0	0	0
474	418	34	0	0	0
474	406	34	0	0	0
474	448	34	0	0	0
474	398	34	0	0	0
474	409	34	0	0	0
474	436	34	0	0	0
474	328	34	0	0	0
474	356	34	0	0	0
474	351	34	0	0	0
474	435	34	0	0	0
474	406	34	0	0	0
474	412	34	0	0	0
474	380	34	0	0	0
474	401	34	0	0	0
474	324	34	0	0	0
474	317	34	0	0	0
474	390	34	0	0	0
474	404	34	0	0	0
