Plcd	Pcpu	Pwifi	Pdata	Pgps	type
0	6	0	10	0	0
0	60	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	10	0	10	0	0
0	3	0	10	0	0
0	33	0	10	0	0
0	1	0	10	0	0
0	3	0	10	0	0
0	10	0	10	0	0
0	2	0	10	0	0
0	3	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	9	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	4	0	10	0	0
0	2	0	10	0	0
0	9	0	10	0	0
0	3	0	10	0	0
0	1	0	10	0	0
0	0	0	10	0	0
0	2	0	10	0	0
0	10	0	10	0	0
0	2	0	10	0	0
0	0	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	6	0	10	0	0
0	1	0	10	0	0
0	3	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	10	0	10	0	0
0	3	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	4	0	10	0	0
0	18	0	10	0	0
0	1	0	10	0	0
0	0	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	11	0	10	0	0
0	3	0	10	0	0
0	1	0	10	0	0
0	15	0	10	0	0
0	2	0	10	0	0
0	3	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	44	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	29	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	4	0	10	0	0
0	3	0	10	0	0
0	44	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	22	0	10	0	0
0	4	0	10	0	0
0	3	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	49	0	10	0	0
0	2	0	10	0	0
0	0	0	10	0	0
0	2	0	10	0	0
0	3	0	10	0	0
0	38	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	77	0	10	0	0
0	1	0	10	0	0
0	0	0	10	0	0
0	0	0	10	0	0
0	4	0	10	0	0
0	27	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	23	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	0	0	10	0	0
0	1	0	10	0	0
0	19	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	0	0	10	0	0
0	15	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	3	0	10	0	0
0	1	0	10	0	0
0	60	0	10	0	0
0	0	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	0	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	3	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	0	0	10	0	0
0	3	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	3	0	10	0	0
0	0	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	4	0	10	0	0
0	1	0	10	0	0
0	3	0	10	0	0
0	0	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	3	0	10	0	0
0	3	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	34	0	10	0	0
0	3	0	10	0	0
0	0	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	0	0	10	0	0
0	0	0	10	0	0
0	0	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	3	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	0	0	10	0	0
0	0	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	0	0	10	0	0
0	1	0	10	0	0
0	0	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	0	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	3	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	0	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	12	0	10	0	0
0	0	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	60	0	10	0	0
0	0	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	3	0	10	0	0
0	0	0	10	0	0
0	0	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	0	0	10	0	0
0	3	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	0	0	10	0	0
0	2	0	10	0	0
0	3	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	0	0	10	0	0
0	2	0	10	0	0
0	3	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	0	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	0	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	0	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	3	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	49	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	4	0	10	0	0
0	0	0	10	0	0
0	2	0	10	0	0
0	4	0	10	0	0
0	0	0	10	0	0
0	2	0	10	0	0
0	0	0	10	0	0
0	3	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	0	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	3	0	10	0	0
0	3	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	0	0	10	0	0
0	2	0	10	0	0
0	14	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	9	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	0	0	10	0	0
0	1	0	10	0	0
0	0	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	0	0	10	0	0
0	2	0	10	0	0
0	55	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	1	0	10	0	0
0	2	0	10	0	0
0	2	0	10	0	0
0	1	0	10	0	0
0	0	0	10	0	0
0	1	0	10	0	0
0	3	0	10	0	0
