Plcd	Pcpu	Pwifi	Pdata	Pgps	type
474	282	0	10	0	0
474	274	0	10	0	0
474	288	0	10	0	0
474	454	0	10	0	0
474	419	0	10	0	0
474	78	0	10	0	0
474	107	0	10	0	0
474	180	0	10	0	0
474	157	0	10	0	0
474	116	0	10	0	0
474	160	0	10	0	0
474	38	0	10	0	0
474	145	0	10	0	0
474	137	0	10	0	0
474	177	0	10	0	0
474	32	0	10	0	0
474	38	0	10	0	0
474	110	0	10	0	0
474	109	0	10	0	0
474	159	0	10	0	0
474	88	0	10	0	0
474	98	0	10	0	0
474	37	0	10	0	0
474	25	0	10	0	0
474	130	0	10	0	0
474	138	0	10	0	0
474	131	0	10	0	0
474	38	0	10	0	0
474	15	0	10	0	0
474	21	0	10	0	0
474	27	0	10	0	0
474	94	0	10	0	0
474	137	0	10	0	0
474	8	0	10	0	0
474	110	0	10	0	0
474	39	0	10	0	0
474	142	0	10	0	0
474	106	0	10	0	0
474	3	0	10	0	0
474	16	0	10	0	0
474	21	0	10	0	0
474	38	0	10	0	0
474	76	0	10	0	0
474	127	0	10	0	0
474	25	0	10	0	0
474	52	0	10	0	0
474	120	0	10	0	0
474	23	0	10	0	0
474	16	0	10	0	0
474	27	0	10	0	0
474	38	0	10	0	0
474	65	0	10	0	0
474	60	0	10	0	0
474	27	0	10	0	0
474	43	0	10	0	0
474	22	0	10	0	0
474	96	0	10	0	0
474	80	0	10	0	0
474	110	0	10	0	0
474	49	0	10	0	0
474	44	0	10	0	0
474	10	0	10	0	0
474	4	0	10	0	0
474	132	0	10	0	0
474	117	0	10	0	0
474	117	0	10	0	0
474	14	0	10	0	0
474	124	0	10	0	0
474	99	0	10	0	0
474	17	0	10	0	0
474	33	0	10	0	0
474	7	0	10	0	0
474	44	0	10	0	0
474	85	0	10	0	0
474	121	0	10	0	0
474	89	0	10	0	0
474	26	0	10	0	0
474	77	0	10	0	0
474	116	0	10	0	0
474	21	0	10	0	0
474	16	0	10	0	0
474	44	0	10	0	0
474	15	0	10	0	0
474	65	0	10	0	0
474	66	0	10	0	0
474	76	0	10	0	0
474	21	0	10	0	0
474	44	0	10	0	0
474	43	0	10	0	0
474	54	0	10	0	0
474	16	0	10	0	0
474	7	0	10	0	0
474	19	0	10	0	0
474	36	0	10	0	0
474	137	0	10	0	0
474	94	0	10	0	0
474	10	0	10	0	0
474	104	0	10	0	0
474	24	0	10	0	0
474	3	0	10	0	0
474	32	0	10	0	0
474	65	0	10	0	0
474	70	0	10	0	0
474	5	0	10	0	0
474	4	0	10	0	0
474	27	0	10	0	0
474	37	0	10	0	0
474	92	0	10	0	0
474	76	0	10	0	0
474	124	0	10	0	0
474	84	0	10	0	0
474	21	0	10	0	0
474	22	0	10	0	0
474	4	0	10	0	0
474	33	0	10	0	0
474	32	0	10	0	0
474	43	0	10	0	0
474	38	0	10	0	0
474	32	0	10	0	0
474	27	0	10	0	0
474	42	0	10	0	0
474	5	0	10	0	0
474	38	0	10	0	0
474	16	0	10	0	0
474	42	0	10	0	0
474	11	0	10	0	0
474	12	0	10	0	0
474	16	0	10	0	0
474	55	0	10	0	0
474	132	0	10	0	0
474	26	0	10	0	0
474	18	0	10	0	0
474	204	0	10	0	0
474	3	0	10	0	0
474	2	0	10	0	0
474	134	0	10	0	0
474	20	0	10	0	0
474	84	0	10	0	0
474	16	0	10	0	0
474	20	0	10	0	0
474	128	0	10	0	0
474	83	0	10	0	0
474	16	0	10	0	0
474	83	0	10	0	0
474	104	0	10	0	0
474	41	0	10	0	0
474	146	0	10	0	0
474	104	0	10	0	0
474	14	0	10	0	0
474	16	0	10	0	0
474	22	0	10	0	0
474	32	0	10	0	0
474	49	0	10	0	0
474	43	0	10	0	0
474	32	0	10	0	0
474	53	0	10	0	0
474	50	0	10	0	0
474	150	0	10	0	0
474	99	0	10	0	0
474	29	0	10	0	0
474	40	0	10	0	0
474	143	0	10	0	0
474	25	0	10	0	0
474	79	0	10	0	0
474	124	0	10	0	0
474	30	0	10	0	0
474	128	0	10	0	0
474	141	0	10	0	0
474	95	0	10	0	0
474	75	0	10	0	0
474	74	0	10	0	0
474	88	0	10	0	0
474	123	0	10	0	0
474	131	0	10	0	0
474	18	0	10	0	0
474	148	0	10	0	0
474	93	0	10	0	0
474	11	0	10	0	0
474	26	0	10	0	0
474	16	0	10	0	0
474	33	0	10	0	0
474	32	0	10	0	0
474	21	0	10	0	0
474	11	0	10	0	0
474	86	0	10	0	0
474	128	0	10	0	0
474	61	0	10	0	0
474	153	0	10	0	0
474	153	0	10	0	0
474	47	0	10	0	0
474	204	0	10	0	0
474	29	0	10	0	0
474	138	0	10	0	0
474	120	0	10	0	0
474	120	0	10	0	0
474	44	0	10	0	0
474	98	0	10	0	0
