Plcd	Pcpu	Pwifi	Pdata	Pgps	type
474	289	34	0	0	0
474	121	34	0	0	0
474	49	34	0	0	0
474	248	34	0	0	0
474	465	34	0	0	0
474	449	34	0	0	0
474	52	34	0	0	0
474	33	34	0	0	0
474	166	34	0	0	0
474	55	34	0	0	0
474	145	34	0	0	0
474	138	34	0	0	0
474	82	34	0	0	0
474	53	34	0	0	0
474	124	34	0	0	0
474	148	34	0	0	0
474	122	34	0	0	0
474	115	34	0	0	0
474	46	34	0	0	0
474	131	34	0	0	0
474	142	34	0	0	0
474	34	34	0	0	0
474	102	34	0	0	0
474	58	34	0	0	0
474	124	34	0	0	0
474	118	34	0	0	0
474	139	34	0	0	0
474	49	34	0	0	0
474	23	34	0	0	0
474	142	34	0	0	0
474	78	34	0	0	0
474	92	34	0	0	0
474	27	34	0	0	0
474	82	34	0	0	0
474	109	34	0	0	0
474	120	34	0	0	0
474	104	34	0	0	0
474	33	34	0	0	0
474	171	34	0	0	0
474	33	34	0	0	0
474	13	34	0	0	0
474	158	34	0	0	0
474	38	34	0	0	0
474	37	34	0	0	0
474	180	34	0	0	0
474	71	34	0	0	0
474	69	34	0	0	0
474	53	34	0	0	0
474	156	34	0	0	0
474	96	34	0	0	0
474	54	34	0	0	0
474	120	34	0	0	0
474	95	34	0	0	0
474	112	34	0	0	0
474	26	34	0	0	0
474	24	34	0	0	0
474	88	34	0	0	0
474	18	34	0	0	0
474	138	34	0	0	0
474	104	34	0	0	0
474	51	34	0	0	0
474	131	34	0	0	0
474	148	34	0	0	0
474	16	34	0	0	0
474	87	34	0	0	0
474	110	34	0	0	0
474	111	34	0	0	0
474	96	34	0	0	0
474	75	34	0	0	0
474	116	34	0	0	0
474	116	34	0	0	0
474	36	34	0	0	0
474	74	34	0	0	0
474	36	34	0	0	0
474	54	34	0	0	0
474	43	34	0	0	0
474	3	34	0	0	0
474	32	404	0	0	0
474	39	34	0	0	0
474	10	34	0	0	0
474	49	34	0	0	0
474	5	34	0	0	0
474	33	34	0	0	0
474	118	34	0	0	0
474	53	34	0	0	0
474	43	34	0	0	0
474	36	34	0	0	0
474	65	34	0	0	0
474	126	34	0	0	0
474	15	34	0	0	0
474	59	34	0	0	0
474	135	34	0	0	0
474	137	34	0	0	0
474	32	34	0	0	0
474	117	34	0	0	0
474	43	34	0	0	0
474	43	34	0	0	0
474	76	34	0	0	0
474	93	34	0	0	0
474	20	34	0	0	0
