Plcd	Pcpu	Pwifi	Pdata	Pgps	type
474	25	0	10	0	0
474	295	0	405	0	0
474	268	0	902	0	0
474	400	0	902	0	0
474	453	0	902	0	0
474	13	0	902	0	0
474	46	0	902	0	0
474	16	0	902	0	0
474	27	0	902	0	0
474	51	0	902	0	0
474	198	0	902	0	0
474	241	0	902	0	0
474	24	0	902	0	0
474	363	0	902	0	0
474	310	0	902	0	0
474	295	0	902	0	0
474	20	0	902	0	0
474	6	0	902	0	0
474	2	0	902	0	0
474	26	0	902	0	0
474	20	0	902	0	0
474	1	0	902	0	0
474	60	0	405	0	0
474	3	0	405	0	0
474	372	0	405	0	0
474	264	0	405	0	0
474	45	0	405	0	0
474	3	0	405	0	0
474	37	0	405	0	0
474	406	0	405	0	0
474	45	0	405	0	0
474	51	0	405	0	0
474	21	0	405	0	0
474	2	0	405	0	0
474	2	0	10	0	0
474	197	0	405	0	0
474	38	0	405	0	0
474	15	0	902	0	0
474	111	0	902	0	0
474	68	0	902	0	0
474	33	0	902	0	0
474	2	0	902	0	0
474	16	0	902	0	0
474	24	0	902	0	0
474	88	0	902	0	0
474	403	0	902	0	0
474	170	0	902	0	0
474	1	0	902	0	0
474	4	0	902	0	0
474	73	0	902	0	0
474	16	0	902	0	0
474	21	0	902	0	0
474	0	0	902	0	0
474	5	0	902	0	0
474	2	0	902	0	0
474	32	0	902	0	0
474	363	0	902	0	0
474	62	0	902	0	0
474	320	0	902	0	0
474	367	0	902	0	0
474	62	0	902	0	0
474	29	0	902	0	0
474	18	0	902	0	0
474	17	0	902	0	0
474	127	0	902	0	0
474	49	0	902	0	0
474	76	0	902	0	0
474	3	0	902	0	0
474	4	0	902	0	0
474	3	0	405	0	0
474	4	0	405	0	0
474	134	0	405	0	0
474	39	0	405	0	0
474	193	0	405	0	0
474	15	0	405	0	0
474	2	0	405	0	0
474	32	0	405	0	0
474	36	0	405	0	0
474	52	0	405	15	0
474	262	0	902	17	0
474	37	0	902	17	0
474	33	0	902	17	0
474	30	0	902	17	0
474	32	0	902	17	0
474	234	0	902	8	0
474	382	0	902	0	0
474	288	0	902	0	0
474	103	0	902	0	0
474	126	0	902	0	0
474	105	0	902	0	0
474	20	0	902	0	0
474	36	0	902	0	0
474	71	0	902	0	0
474	74	0	902	0	0
474	19	0	902	0	0
474	60	0	902	0	0
474	11	0	405	0	0
474	24	0	405	0	0
474	182	0	405	0	0
474	436	0	902	0	0
474	172	0	902	0	0
474	69	0	902	0	0
474	205	0	902	0	0
474	74	0	902	0	0
474	32	0	902	0	0
474	14	0	902	0	0
474	299	0	902	0	0
474	216	0	902	0	0
474	109	0	902	0	0
474	17	0	902	0	0
474	86	0	902	0	0
474	331	0	902	0	0
474	30	0	902	0	0
474	9	0	902	0	0
474	23	0	902	0	0
474	98	0	902	0	0
474	290	0	902	0	0
474	60	0	902	0	0
474	349	0	902	0	0
474	180	0	902	0	0
474	59	0	902	0	0
474	94	0	902	0	0
474	333	0	902	0	0
474	12	0	902	0	0
474	296	0	902	0	0
474	21	0	902	0	0
474	86	0	902	0	0
474	193	0	902	0	0
474	405	0	902	0	0
474	455	0	902	0	0
474	455	0	902	0	0
474	406	0	902	0	0
474	372	0	902	0	0
474	450	0	902	174	0
474	420	0	902	268	0
474	412	0	902	268	0
474	404	0	902	268	0
474	235	0	902	268	0
474	263	0	902	268	0
474	64	0	902	268	0
474	343	0	902	268	0
474	321	0	902	268	0
474	317	0	902	268	0
474	290	0	902	268	0
474	338	0	902	268	0
474	23	0	902	268	0
474	244	0	902	268	0
474	238	0	902	268	0
474	257	0	902	268	0
474	104	0	902	268	0
474	27	0	405	268	0
474	211	0	405	183	0
474	48	0	405	17	0
474	376	0	902	17	0
474	408	0	902	17	0
474	419	0	902	17	0
474	10	0	902	17	0
474	67	0	902	6	0
474	247	0	902	0	0
474	225	0	902	0	0
474	103	0	902	0	0
474	137	0	902	0	0
474	299	0	902	0	0
474	296	0	902	0	0
474	177	0	902	0	0
474	323	0	902	0	0
474	27	0	902	0	0
474	167	0	902	0	0
474	166	0	902	0	0
474	205	0	902	0	0
474	66	0	902	0	0
474	111	0	902	0	0
474	49	0	902	0	0
474	87	0	902	0	0
474	28	0	902	0	0
474	104	0	902	0	0
474	345	0	902	0	0
474	313	0	902	0	0
474	100	0	902	0	0
474	18	0	902	0	0
474	61	0	902	0	0
474	332	0	902	0	0
474	55	0	902	0	0
474	99	0	902	0	0
474	4	0	902	0	0
474	24	0	902	0	0
474	81	0	902	0	0
474	14	0	902	0	0
474	7	0	405	0	0
474	54	0	405	0	0
474	12	0	405	0	0
474	33	0	405	0	0
474	12	0	405	0	0
474	27	0	902	0	0
474	82	0	902	0	0
474	194	0	902	0	0
474	7	0	902	0	0
474	6	0	902	0	0
474	58	0	902	0	0
474	72	0	902	0	0
474	433	0	902	0	0
474	34	0	902	0	0
474	7	0	902	0	0
474	3	0	902	0	0
474	5	0	902	0	0
474	11	0	902	0	0
474	2	0	902	0	0
474	6	0	405	0	0
474	5	0	405	0	0
474	4	0	405	0	0
474	3	0	405	0	0
474	4	0	405	0	0
474	5	0	405	0	0
474	4	0	405	0	0
474	3	0	405	0	0
474	3	0	405	0	0
474	3	0	405	0	0
474	7	0	405	0	0
474	3	0	405	0	0
474	2	0	10	0	0
474	143	0	405	0	0
474	189	0	902	0	0
474	194	0	902	0	0
474	218	0	902	0	0
474	30	0	902	0	0
474	281	0	902	0	0
474	74	0	902	0	0
474	30	0	902	0	0
474	70	0	902	0	0
474	5	0	902	0	0
474	194	0	902	5	0
474	345	0	902	61	0
474	29	0	902	17	0
474	129	0	902	17	0
474	154	0	902	17	0
474	100	0	902	17	0
474	376	0	902	17	0
474	323	0	902	2	0
474	107	0	902	0	0
474	19	0	902	0	0
474	16	0	902	0	0
474	15	0	902	0	0
474	55	0	902	0	0
474	23	0	902	0	0
474	13	0	902	0	0
474	12	0	405	0	0
474	106	0	405	0	0
474	290	0	405	0	0
474	22	0	405	0	0
474	405	0	902	0	0
474	39	0	902	0	0
474	14	0	902	0	0
474	92	0	902	0	0
474	276	0	902	0	0
474	36	0	902	0	0
474	21	0	902	0	0
474	20	0	902	0	0
474	6	0	902	0	0
474	184	0	902	0	0
474	315	0	902	0	0
474	189	0	902	0	0
474	404	0	902	0	0
474	66	0	902	0	0
474	20	0	902	0	0
474	21	0	902	0	0
474	504	0	902	0	0
474	462	0	902	0	0
474	105	0	902	0	0
474	167	0	902	0	0
474	78	0	902	0	0
474	19	0	902	0	0
474	2	0	902	0	0
474	191	0	902	0	0
474	32	0	405	0	0
474	1	0	405	0	0
474	14	0	405	0	0
474	1	0	405	0	0
474	149	0	405	0	0
474	460	0	902	0	0
474	186	0	902	0	0
474	180	0	902	0	0
474	422	0	902	0	0
474	372	0	902	0	0
474	401	0	902	0	0
474	73	0	902	0	0
474	64	0	902	0	0
474	204	0	902	0	0
474	92	0	902	0	0
474	442	0	902	0	0
474	83	0	902	0	0
474	43	0	902	0	0
474	14	0	902	0	0
474	3	0	902	0	0
474	4	0	902	0	0
