Plcd	Pcpu	Pwifi	Pdata	Pgps	type
474	211	404	0	0	0
474	210	404	0	0	0
474	2	34	0	0	0
474	167	34	0	0	0
474	353	404	0	0	0
474	398	404	0	0	0
474	18	34	0	0	0
474	4	34	0	0	0
474	352	404	0	0	0
474	71	404	0	0	0
474	304	34	0	0	0
474	241	34	0	0	0
474	2	34	0	0	0
474	3	34	0	0	0
474	111	34	0	0	0
474	79	34	0	0	0
474	98	404	0	0	0
474	411	34	0	0	0
474	368	404	0	0	0
474	449	404	0	0	0
474	96	404	0	0	0
474	85	34	0	0	0
474	463	34	0	0	0
474	397	34	0	0	0
474	411	404	0	0	0
474	66	404	0	0	0
474	124	34	0	0	0
474	65	34	0	0	0
474	311	404	0	0	0
474	424	404	0	0	0
474	282	404	0	0	0
474	45	34	0	0	0
474	47	34	0	0	0
474	43	34	0	0	0
474	43	34	0	0	0
474	36	34	0	0	0
474	45	34	0	0	0
474	211	34	0	0	0
474	48	34	0	0	0
474	41	34	0	0	0
474	44	34	0	0	0
474	42	34	0	0	0
474	218	34	0	0	0
474	43	34	0	0	0
474	44	34	0	0	0
474	191	34	0	0	0
474	43	34	0	0	0
474	378	34	0	0	0
474	318	404	0	0	0
474	293	34	0	0	0
474	506	404	0	0	0
474	69	404	0	0	0
474	45	34	0	0	0
474	42	34	0	0	0
474	235	34	0	0	0
474	186	34	0	0	0
474	401	34	0	0	0
474	84	404	0	0	0
474	36	34	0	0	0
474	441	34	0	0	0
474	45	34	0	0	0
474	170	34	0	0	0
474	42	34	0	0	0
474	330	34	0	0	0
474	23	34	0	0	0
474	21	34	0	0	0
474	374	34	0	0	0
474	19	34	0	0	0
474	1	34	0	0	0
474	332	404	0	0	0
474	51	34	0	0	0
474	30	34	0	0	0
474	7	34	0	0	0
474	276	404	0	0	0
474	240	34	0	0	0
474	228	404	0	0	0
474	63	34	0	0	0
474	3	34	0	0	0
474	3	34	0	0	0
474	3	34	0	0	0
474	3	34	0	0	0
474	7	34	0	0	0
474	250	34	0	0	0
474	407	34	0	0	0
474	7	34	0	0	0
474	67	34	0	0	0
474	179	34	0	0	0
474	303	404	0	0	0
474	374	404	0	0	0
474	74	404	0	0	0
474	4	34	0	0	0
474	4	34	0	0	0
474	90	34	0	0	0
474	45	34	0	0	0
474	295	34	0	0	0
474	284	34	0	0	0
474	316	34	0	32	0
474	378	404	0	268	0
474	401	404	0	268	0
474	293	34	0	268	0
474	260	34	405	268	0
474	29	34	902	268	0
474	34	34	902	268	0
474	0	0	0	268	0
474	336	404	0	268	0
474	378	404	0	268	0
474	85	34	0	268	0
474	9	34	0	268	0
474	82	34	0	232	0
474	224	34	0	17	0
474	362	34	0	17	0
474	194	34	0	17	0
474	92	34	0	17	0
474	13	34	0	17	0
474	236	34	0	8	0
474	379	404	0	0	0
474	56	34	0	0	0
474	4	34	0	0	0
474	2	34	0	0	0
474	163	404	0	0	0
474	396	405	0	0	0
474	372	405	0	0	0
474	378	404	0	0	0
474	417	404	0	0	0
474	503	34	0	0	0
474	443	404	0	0	0
474	24	34	0	0	0
474	30	34	0	0	0
474	24	34	0	0	0
474	28	404	0	0	0
474	69	34	0	0	0
474	28	34	0	0	0
474	119	34	0	0	0
474	26	34	0	0	0
474	29	34	0	0	0
474	20	34	0	0	0
474	26	34	0	0	0
474	25	34	0	0	0
474	139	34	0	0	0
474	22	34	0	0	0
474	25	34	0	0	0
474	22	404	0	0	0
474	21	34	0	0	0
474	128	34	0	0	0
474	19	34	0	0	0
474	22	34	0	0	0
474	182	34	0	0	0
474	34	34	0	0	0
474	24	34	0	0	0
474	26	34	0	0	0
474	23	34	0	0	0
474	29	34	0	0	0
474	25	34	0	0	0
474	20	34	0	0	0
474	22	34	0	0	0
474	22	34	0	0	0
474	21	34	0	0	0
474	87	34	0	0	0
474	26	34	0	0	0
474	26	34	0	0	0
474	24	34	0	0	0
474	20	34	0	0	0
474	142	34	0	0	0
474	19	34	0	0	0
474	163	34	0	0	0
474	20	34	0	0	0
474	20	34	0	0	0
474	137	34	0	0	0
474	137	34	0	0	0
