Plcd	Pcpu	Pwifi	Pdata	Pgps	type
0	21	0	10	268	1
0	9	0	10	268	1
0	3	0	10	268	1
0	16	0	405	268	1
0	6	0	902	268	1
0	6	0	902	268	1
0	25	0	902	268	1
0	5	0	902	268	1
0	11	0	902	268	1
0	4	0	902	268	1
0	4	0	902	268	1
0	6	0	902	268	1
0	10	0	405	268	1
0	13	0	405	268	1
0	5	0	405	268	1
0	7	0	405	268	1
0	6	0	405	268	1
0	6	0	405	268	1
0	20	0	405	268	1
0	5	0	405	268	1
0	4	0	405	268	1
0	4	0	405	268	1
0	4	0	405	268	1
0	13	0	405	268	1
0	5	0	10	268	1
0	4	0	10	268	1
0	4	0	10	268	1
0	9	0	10	268	1
0	7	0	10	268	1
0	4	0	10	268	1
0	6	0	10	268	1
0	10	0	10	268	1
0	4	0	10	268	1
0	5	0	10	268	1
0	7	0	10	268	1
0	11	0	10	268	1
0	5	0	10	268	1
0	6	0	10	268	1
0	5	0	10	268	1
0	9	0	10	268	1
0	10	0	10	268	1
0	6	0	10	268	1
0	4	0	10	268	1
0	7	0	10	268	1
0	7	0	10	268	1
0	6	0	10	268	1
0	5	0	10	268	1
0	5	0	10	268	1
0	5	0	10	268	1
0	9	0	10	268	1
0	6	0	10	268	1
0	10	0	10	268	1
0	6	0	10	268	1
0	92	0	10	185	1
0	28	0	10	93	1
0	11	0	10	261	1
0	5	0	10	268	1
0	82	0	10	265	1
0	211	0	10	125	1
0	14	0	10	17	1
0	2	0	10	17	1
0	10	0	10	17	1
0	2	0	10	17	1
0	1	0	10	17	1
0	149	0	10	5	1
0	22	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	3	0	10	0	1
0	2	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	2	0	10	0	1
0	2	0	10	0	1
0	0	0	10	0	1
0	0	0	10	0	1
0	3	0	10	0	1
0	1	0	10	0	1
0	0	0	10	0	1
0	2	0	10	0	1
0	2	0	10	0	1
0	2	0	10	0	1
0	0	0	10	0	1
0	1	0	10	0	1
0	1	0	10	0	1
0	2	0	10	0	1
0	0	0	10	0	1
0	1	0	10	0	1
0	0	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	2	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
0	3	0	10	0	1
0	3	0	10	0	1
0	2	0	10	0	1
0	2	0	10	0	1
0	0	0	10	0	1
0	1	0	10	0	1
0	0	0	10	0	1
0	4	0	10	0	1
0	3	0	10	0	1
0	1	0	10	0	1
0	3	0	10	0	1
0	2	0	10	0	1
0	4	0	10	0	1
0	3	0	10	0	1
0	1	0	10	0	1
0	3	0	10	0	1
0	0	0	10	0	1
0	1	0	10	0	1
0	0	0	10	0	1
0	2	0	10	0	1
0	2	0	10	0	1
0	6	0	10	0	1
0	6	0	10	145	1
0	10	0	10	268	1
0	5	0	10	268	1
0	5	0	10	268	1
0	2	0	10	268	1
0	5	0	10	268	1
0	3	0	10	268	1
0	4	0	10	268	1
0	3	0	10	268	1
0	6	0	10	268	1
0	6	0	10	268	1
0	5	0	10	268	1
0	6	0	10	268	1
0	6	0	10	268	1
0	7	0	10	268	1
0	5	0	10	268	1
0	5	0	10	268	1
0	4	0	10	268	1
0	4	0	10	268	1
0	4	0	10	268	1
0	2	0	10	268	1
0	4	0	10	268	1
0	4	0	10	268	1
0	11	0	10	268	1
0	6	0	10	268	1
0	3	0	10	268	1
0	5	0	10	268	1
0	5	0	10	268	1
0	146	0	10	180	1
0	27	0	10	102	1
0	9	0	10	260	1
0	4	0	10	268	1
0	5	0	10	260	1
0	6	0	10	268	1
0	9	0	10	265	1
0	6	0	10	268	1
0	32	0	10	263	1
0	7	0	10	263	1
0	43	0	10	263	1
0	32	0	10	264	1
0	60	0	10	266	1
0	38	0	10	263	1
0	27	0	10	266	1
0	43	0	10	263	1
0	21	0	10	260	1
0	59	0	10	228	1
0	166	0	10	17	1
0	1	0	10	17	1
0	4	0	10	17	1
0	2	0	10	17	1
0	2	0	10	17	1
0	60	0	10	8	1
0	175	0	10	0	1
0	2	0	10	0	1
0	1	0	10	0	1
