Plcd	Pcpu	Pwifi	Pdata	Pgps	type
474	66	0	10	78	1
474	27	0	10	268	1
474	9	0	10	268	1
474	3	0	10	268	1
474	7	0	10	268	1
474	22	0	10	268	1
474	11	0	10	268	1
474	55	0	10	268	1
474	6	0	10	268	1
474	21	0	10	268	1
474	5	0	10	268	1
474	3	0	10	268	1
474	5	0	10	268	1
474	4	0	10	268	1
474	6	0	10	268	1
474	12	0	10	268	1
474	6	0	10	268	1
474	2	0	10	268	1
474	32	0	10	268	1
474	5	0	10	268	1
474	14	0	10	268	1
474	6	0	10	268	1
474	8	0	10	268	1
474	7	0	10	268	1
474	7	0	10	268	1
474	55	0	10	268	1
474	3	0	10	268	1
474	4	0	10	268	1
474	7	0	10	268	1
474	5	0	10	268	1
474	5	0	10	268	1
474	2	0	10	268	1
474	6	0	10	268	1
474	13	0	10	268	1
474	10	0	10	268	1
474	3	0	10	268	1
474	21	0	10	268	1
474	1	0	10	268	1
474	3	0	10	268	1
474	13	0	10	268	1
474	6	0	10	268	1
474	3	0	10	268	1
474	4	0	10	268	1
474	33	0	10	268	1
474	10	0	10	268	1
474	9	0	10	268	1
474	3	0	10	268	1
474	5	0	10	268	1
474	16	0	10	268	1
474	13	0	10	268	1
474	6	0	10	268	1
474	5	0	10	268	1
474	92	0	10	252	1
474	21	0	10	268	1
474	10	0	10	268	1
474	13	0	10	263	1
474	115	0	10	262	1
474	127	0	10	264	1
474	12	0	10	263	1
474	6	0	10	261	1
474	128	0	10	192	1
474	38	0	10	17	1
474	3	0	10	17	1
474	2	0	10	17	1
474	2	0	10	17	1
474	5	0	10	17	1
474	20	0	10	7	1
474	36	0	10	0	1
474	4	0	10	0	1
474	5	0	10	0	1
474	2	0	10	0	1
474	2	0	10	0	1
474	7	0	10	0	1
474	3	0	10	0	1
474	21	0	10	0	1
474	2	0	10	0	1
474	3	0	10	0	1
474	4	0	10	0	1
474	11	0	10	0	1
474	4	0	10	0	1
474	4	0	10	0	1
474	3	0	10	0	1
474	5	0	10	0	1
474	4	0	10	0	1
474	4	0	10	0	1
474	0	0	10	0	1
474	5	0	10	0	1
474	7	0	10	0	1
474	7	0	10	0	1
474	2	0	10	0	1
474	2	0	10	0	1
474	3	0	10	0	1
474	3	0	10	0	1
474	11	0	10	0	1
474	1	0	10	0	1
474	2	0	10	0	1
474	1	0	10	0	1
474	2	0	10	0	1
474	3	0	10	0	1
474	3	0	10	0	1
474	4	0	10	0	1
474	2	0	10	0	1
474	4	0	10	0	1
474	4	0	10	0	1
474	5	0	10	0	1
474	3	0	10	0	1
474	4	0	10	0	1
474	3	0	10	0	1
474	2	0	10	0	1
474	2	0	10	0	1
474	2	0	10	0	1
474	6	0	10	0	1
474	3	0	10	0	1
389	2	0	10	0	1
389	27	0	10	0	1
389	4	0	10	0	1
389	1	0	10	0	1
389	3	0	10	0	1
389	10	0	10	0	1
389	1	0	10	0	1
365	88	0	10	108	1
0	14	0	10	268	1
0	27	0	10	268	1
474	279	0	10	268	1
474	27	0	10	268	1
474	16	0	10	268	1
474	5	0	10	268	1
474	18	0	10	268	1
474	5	0	10	268	1
474	5	0	10	268	1
474	10	0	10	268	1
474	54	0	10	246	1
474	255	0	10	24	1
474	7	0	10	268	1
474	5	0	10	261	1
474	24	0	10	263	1
474	10	0	10	263	1
474	11	0	10	263	1
474	7	0	10	263	1
474	54	0	10	263	1
474	10	0	10	261	1
474	9	0	10	263	1
474	6	0	10	263	1
474	27	0	10	215	1
474	235	0	10	42	1
474	7	0	10	17	1
474	2	0	10	17	1
474	15	0	10	17	1
474	39	0	10	17	1
474	7	0	10	17	1
474	244	0	10	1	1
474	4	0	10	0	1
474	3	0	10	0	1
474	3	0	10	0	1
474	12	0	10	0	1
474	4	0	10	0	1
474	5	0	10	0	1
474	2	0	10	0	1
474	2	0	10	0	1
474	6	0	10	0	1
474	11	0	10	0	1
474	5	0	10	0	1
474	2	0	10	0	1
474	2	0	10	0	1
474	6	0	10	0	1
474	10	0	10	0	1
474	5	0	10	0	1
474	21	0	10	0	1
474	2	0	10	0	1
474	3	0	10	0	1
474	4	0	10	0	1
474	10	0	10	0	1
474	4	0	10	0	1
474	3	0	10	0	1
474	4	0	10	0	1
474	2	0	10	0	1
474	2	0	10	0	1
474	3	0	10	0	1
474	2	0	10	0	1
474	3	0	10	0	1
474	1	0	10	0	1
474	3	0	10	0	1
474	2	0	10	0	1
474	2	0	10	0	1
474	3	0	10	0	1
474	3	0	10	0	1
474	0	0	10	0	1
474	5	0	10	0	1
474	2	0	10	0	1
474	3	0	10	0	1
474	3	0	10	0	1
474	2	0	10	0	1
474	2	0	10	0	1
474	2	0	10	0	1
474	4	0	10	0	1
474	3	0	10	0	1
474	2	0	10	0	1
474	2	0	10	0	1
474	2	0	10	0	1
474	10	0	10	0	1
474	3	0	10	0	1
389	5	0	10	0	1
474	3	0	10	0	1
474	3	0	10	0	1
474	268	0	10	227	1
474	17	0	10	268	1
474	6	0	10	268	1
474	7	0	10	268	1
474	9	0	10	268	1
474	3	0	10	268	1
474	82	0	10	268	1
474	5	0	10	268	1
474	43	0	10	268	1
474	4	0	10	268	1
474	7	0	10	268	1
474	60	0	10	268	1
474	6	0	10	268	1
474	7	0	10	268	1
474	219	0	10	96	1
474	21	0	10	183	1
474	7	0	10	263	1
474	20	0	10	264	1
474	20	0	10	260	1
474	10	0	10	264	1
474	15	0	10	264	1
474	21	0	10	262	1
474	12	0	10	263	1
474	11	0	10	266	1
474	18	0	10	264	1
474	5	0	10	262	1
474	155	0	10	165	1
474	171	0	10	17	1
474	1	0	10	17	1
474	3	0	10	17	1
474	18	0	10	17	1
474	6	0	10	17	1
474	179	0	10	6	1
474	25	0	10	0	1
474	3	0	10	0	1
474	3	0	10	0	1
474	8	0	10	0	1
474	4	0	10	0	1
474	2	0	10	0	1
474	2	0	10	0	1
474	2	0	10	0	1
474	9	0	10	0	1
474	4	0	10	0	1
474	109	0	10	0	1
474	2	0	10	0	1
474	11	0	10	0	1
474	3	0	10	0	1
474	4	0	10	0	1
474	11	0	10	0	1
474	2	0	10	0	1
474	3	0	10	0	1
474	12	0	10	0	1
474	2	0	10	0	1
474	1	0	10	0	1
474	4	0	10	0	1
474	2	0	10	0	1
474	32	0	10	0	1
474	4	0	10	0	1
474	4	0	10	0	1
474	2	0	10	0	1
474	0	0	10	0	1
474	4	0	10	0	1
474	11	0	10	0	1
474	2	0	10	0	1
474	3	0	10	0	1
474	3	0	10	0	1
474	2	0	10	0	1
474	1	0	10	0	1
474	4	0	10	0	1
474	3	0	10	0	1
474	2	0	10	0	1
474	2	0	10	0	1
474	4	0	10	0	1
474	2	0	10	0	1
474	3	0	10	0	1
474	2	0	10	0	1
474	1	0	10	0	1
474	10	0	10	0	1
474	1	0	10	0	1
474	10	0	10	0	1
474	3	0	10	0	1
474	2	0	10	0	1
474	1	0	10	0	1
