Plcd	Pcpu	Pwifi	Pdata	Pgps	type
0	50	404	0	268	1
0	6	34	0	268	1
0	158	34	405	268	1
0	29	34	902	268	1
0	32	34	902	268	1
0	274	34	0	268	1
0	48	34	0	268	1
0	7	34	0	268	1
0	4	34	0	268	1
0	3	34	0	268	1
0	11	34	0	268	1
0	82	34	0	268	1
0	8	34	0	268	1
0	27	34	0	268	1
0	3	34	0	268	1
0	5	34	0	268	1
0	15	34	0	268	1
0	2	34	0	268	1
0	6	34	0	268	1
0	7	34	0	268	1
0	3	34	0	268	1
0	14	34	0	268	1
0	7	34	0	268	1
0	5	34	0	268	1
0	4	34	0	268	1
0	12	34	0	268	1
0	14	34	0	268	1
0	5	34	0	268	1
0	7	34	0	268	1
0	5	34	0	268	1
0	14	34	0	268	1
0	6	34	0	268	1
0	5	34	0	268	1
0	2	34	0	268	1
0	4	34	0	268	1
0	49	34	0	268	1
0	7	34	0	268	1
0	2	34	0	268	1
0	5	34	0	268	1
0	162	34	0	119	1
0	22	34	0	164	1
0	7	34	0	261	1
0	4	34	0	268	1
0	5	34	0	259	1
0	44	34	0	268	1
0	11	34	0	260	1
0	10	34	0	268	1
0	12	34	0	260	1
0	6	34	0	268	1
0	18	34	0	260	1
0	9	34	0	268	1
0	43	34	0	264	1
0	2	34	0	268	1
0	15	34	0	260	1
0	6	34	0	268	1
0	12	34	0	257	1
0	6	34	0	268	1
0	7	34	0	268	1
0	10	34	0	265	1
0	233	34	0	56	1
0	9	34	0	17	1
0	2	34	0	17	1
0	2	34	0	17	1
0	0	34	0	17	1
0	5	34	0	17	1
0	241	34	0	2	1
0	10	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	44	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	11	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	4	34	0	0	1
0	3	34	0	0	1
0	44	34	0	0	1
0	0	34	0	0	1
0	1	34	0	0	1
0	3	34	0	0	1
0	2	34	0	0	1
0	10	34	0	0	1
0	6	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	14	34	0	0	1
0	3	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	12	34	0	0	1
0	3	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	49	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	4	34	0	0	1
0	4	34	0	0	1
0	7	34	0	0	1
0	3	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	44	34	0	0	1
0	0	34	0	0	1
0	1	34	0	0	1
0	3	34	0	0	1
0	1	34	0	0	1
0	13	34	0	0	1
0	5	34	0	0	1
0	0	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	6	34	0	217	1
0	5	34	0	268	1
0	7	34	0	268	1
0	6	34	0	268	1
0	2	34	0	268	1
0	9	34	0	268	1
0	7	34	0	268	1
0	5	34	0	268	1
0	7	34	0	268	1
0	4	34	0	268	1
0	10	34	0	268	1
0	7	34	0	268	1
0	5	34	0	268	1
0	6	34	0	268	1
0	5	34	0	268	1
0	85	34	0	268	1
0	6	34	0	268	1
0	8	34	0	268	1
0	5	34	0	268	1
0	3	34	0	268	1
0	12	34	0	268	1
0	6	34	0	268	1
0	7	34	0	268	1
0	38	34	0	268	1
0	7	34	0	268	1
0	9	34	0	268	1
0	7	34	0	268	1
0	6	34	0	268	1
0	3	34	0	268	1
0	6	34	0	268	1
0	6	34	0	268	1
0	10	34	0	268	1
0	4	34	0	268	1
0	3	34	0	268	1
0	4	34	0	268	1
0	4	34	0	268	1
0	4	34	0	268	1
0	5	34	0	268	1
0	7	34	0	268	1
0	6	34	0	268	1
0	5	34	0	268	1
0	6	34	0	268	1
0	3	34	0	268	1
0	10	34	0	268	1
0	5	34	0	268	1
0	5	34	0	268	1
0	21	34	0	268	1
0	5	34	0	268	1
0	10	34	0	268	1
0	5	34	0	268	1
0	5	34	0	268	1
0	15	34	0	263	1
0	9	34	0	268	1
0	6	34	0	263	1
0	7	34	0	268	1
0	17	34	0	263	1
0	14	34	0	265	1
0	12	34	0	261	1
0	10	34	0	265	1
0	14	34	0	257	1
0	162	34	0	67	1
0	10	34	0	17	1
0	5	34	0	17	1
0	0	34	0	17	1
0	2	34	0	17	1
0	2	34	0	17	1
0	171	34	0	2	1
0	9	34	0	0	1
0	1	34	0	0	1
0	3	34	0	0	1
0	7	34	0	0	1
0	2	34	0	0	1
0	0	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	3	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	4	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	3	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	25	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	6	34	0	0	1
0	0	34	0	0	1
0	1	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	0	34	0	0	1
0	2	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	23	34	0	0	1
0	3	34	0	0	1
0	3	34	0	0	1
0	1	34	0	0	1
0	11	34	0	0	1
0	7	34	0	0	1
0	2	34	0	0	1
0	3	34	0	0	1
0	2	34	0	0	1
0	30	34	0	0	1
0	1	34	0	0	1
0	2	34	0	0	1
0	1	34	0	0	1
0	4	34	0	0	1
0	6	34	0	205	1
0	10	34	0	268	1
0	10	34	0	268	1
0	7	34	0	268	1
0	3	34	0	268	1
0	5	34	0	268	1
0	7	34	0	268	1
0	5	34	0	268	1
0	3	34	0	268	1
0	5	34	0	268	1
0	4	34	0	268	1
0	10	34	0	268	1
0	5	34	0	268	1
0	7	34	0	268	1
0	6	34	0	268	1
0	6	34	0	268	1
0	1	34	0	268	1
0	6	34	0	268	1
0	4	34	0	268	1
0	4	34	0	268	1
