Plcd	Pcpu	Pwifi	Pdata	Pgps	type
474	49	34	0	0	1
474	54	34	0	0	1
474	54	34	0	0	1
474	87	34	0	0	1
474	29	34	0	0	1
474	16	34	0	0	1
474	20	34	0	0	1
474	21	34	0	0	1
474	63	34	0	28	1
474	20	34	0	268	1
474	19	34	0	268	1
474	4	34	0	268	1
474	92	34	0	268	1
474	25	34	0	268	1
474	11	34	0	268	1
474	5	34	0	268	1
474	32	34	0	268	1
474	9	34	0	268	1
474	7	34	0	268	1
474	7	34	0	268	1
474	4	34	0	268	1
474	23	34	0	252	1
474	13	34	0	268	1
474	61	34	0	262	1
474	24	34	0	264	1
474	54	34	0	260	1
474	13	34	0	263	1
474	15	34	0	264	1
474	36	34	0	264	1
474	13	34	0	264	1
474	80	34	0	264	1
474	139	34	0	263	1
474	271	34	0	53	1
474	7	34	0	17	1
474	4	34	0	17	1
474	27	34	0	17	1
474	2	34	0	17	1
474	55	34	0	17	1
474	234	34	0	2	1
474	9	34	0	0	1
474	2	34	0	0	1
474	16	34	0	0	1
474	118	34	0	0	1
474	2	34	0	0	1
474	4	34	0	0	1
474	5	34	0	0	1
474	3	34	0	0	1
474	45	34	0	0	1
474	3	34	0	0	1
474	2	34	0	0	1
474	3	34	0	0	1
474	2	34	0	0	1
474	16	34	0	0	1
474	32	34	0	0	1
474	13	34	0	0	1
474	60	34	0	0	1
474	21	34	0	0	1
474	4	34	0	0	1
474	110	34	0	0	1
474	5	34	0	0	1
474	5	34	0	0	1
474	4	34	0	0	1
474	4	34	0	0	1
474	5	34	0	0	1
474	7	34	0	0	1
474	1	34	0	0	1
474	2	34	0	0	1
474	2	34	0	0	1
474	2	34	0	0	1
474	1	34	0	0	1
474	22	34	0	0	1
474	4	34	0	0	1
474	2	34	0	0	1
474	1	34	0	0	1
474	2	34	0	0	1
474	3	34	0	0	1
474	11	34	0	0	1
474	3	34	0	0	1
474	2	34	0	0	1
474	2	34	0	0	1
474	4	34	0	0	1
474	2	34	0	0	1
474	49	34	0	0	1
474	2	34	0	0	1
474	5	34	0	0	1
474	3	34	0	0	1
474	5	34	0	0	1
474	3	34	0	0	1
474	3	34	0	0	1
474	3	34	0	0	1
474	0	34	0	0	1
474	0	34	0	0	1
474	49	34	0	214	1
474	126	34	0	268	1
474	17	34	0	268	1
474	49	34	0	268	1
474	38	34	0	268	1
474	76	34	0	268	1
474	71	34	0	268	1
474	191	34	0	247	1
474	32	34	0	268	1
474	11	34	0	259	1
474	75	34	0	261	1
474	111	34	0	263	1
474	7	34	0	262	1
474	82	34	0	262	1
474	28	34	0	264	1
474	16	34	0	264	1
474	65	34	0	263	1
474	54	34	0	262	1
474	271	34	0	120	1
474	22	34	0	17	1
474	26	34	0	17	1
474	48	34	0	17	1
474	14	34	0	17	1
474	33	34	0	17	1
474	161	34	0	5	1
474	18	34	0	0	1
474	16	34	0	0	1
474	2	34	0	0	1
474	1	34	0	0	1
474	2	34	0	0	1
474	3	34	0	0	1
474	3	34	0	0	1
474	3	34	0	0	1
474	3	34	0	0	1
418	2	34	0	0	1
474	2	34	0	0	1
474	11	34	0	0	1
474	2	34	0	0	1
474	3	34	0	0	1
474	4	34	0	0	1
474	2	34	0	0	1
474	27	34	0	0	1
474	0	34	0	0	1
474	4	34	0	0	1
474	4	34	0	0	1
474	2	34	0	0	1
474	2	34	0	0	1
474	5	34	0	0	1
474	4	34	0	0	1
474	3	34	0	0	1
474	12	34	0	0	1
474	27	34	0	0	1
474	43	34	0	0	1
474	3	34	0	0	1
474	3	34	0	0	1
474	3	34	0	0	1
474	27	34	0	0	1
474	10	34	0	0	1
474	6	34	0	0	1
474	2	34	0	0	1
474	10	34	0	0	1
474	2	34	0	0	1
474	16	34	0	0	1
474	1	34	0	0	1
474	1	34	0	0	1
474	3	34	0	0	1
474	3	34	0	0	1
474	4	34	0	0	1
474	7	34	0	0	1
474	2	34	0	0	1
474	2	34	0	0	1
474	33	34	0	0	1
474	2	34	0	0	1
474	5	34	0	0	1
474	16	34	0	0	1
389	3	34	0	0	1
389	4	34	0	0	1
389	3	34	0	0	1
389	5	34	0	150	1
389	49	34	0	268	1
389	32	34	0	268	1
474	4	34	0	268	1
474	10	34	0	268	1
474	22	34	0	268	1
474	38	34	0	268	1
474	11	34	0	268	1
474	27	34	0	268	1
474	21	34	0	268	1
474	38	34	0	268	1
474	21	34	0	268	1
474	12	34	0	268	1
474	18	34	0	268	1
474	32	34	0	268	1
474	27	34	0	268	1
474	6	34	0	268	1
474	21	34	0	268	1
